Latitude	Longitude	Median Depth 4Th	County	Facility ID	Facility Name	Max Depth 4Th	Parent Name	Street
29.77113	-93.462699	316	CAMERON PARISH	70631ZPTHYHC69B	OMEGA PROTEIN INC CAMERON PLANT	494	OMEGA PROTEIN INC	391 GULF BEACH HWY
29.238103	-89.386139	314	PLAQUEMINES PARISH	70091DYNGY1565T	TARGA MIDSTREAM SERVICES L.P.	387	TARGA RESOURCES LLC	1565 TIDEWATER RD
29.92844	-91.829822	313	IBERIA PARISH	70560TPSDF4800C	DYNAMIC FACILITIES TOPSIDE EAST YARD	475		4800 CARL BAUER RD
30.23454	-89.769691	312	ST TAMMANY PARISH	7046WLFRGL47NHW	LAFARGE LAKESHORE READY MIX	465	LAFARGE NA	470 E HOWZE BEACH RD
29.770846	-93.463206	312	CAMERON PARISH	7063WMRTNP521GU	MARTIN OPERATING PTNR - CAMERON 8	481	MARTIN OPERATING PTNR LP	521 GULF BEACH HWY
29.237444	-89.38561	309	PLAQUEMINES PARISH	70091SCSVNHWY23	ASCO-US VENICE	387	ASCO-US	HWY. 23 TEXACO YARD
29.54928	-90.39371	305	LAFOURCHE PARISH	70373BLLNGLAHWY	BOLLINGER LAROSE LLC	360	BOLLINGER SHIPYARDS LLC	1515 HWY 24
29.8211	-92.1334	304	VERMILION PARISH	70510ZPTHYWY333	OMEGA PROTEIN-ABBEVILLE PLANT	450	OMEGA PROTEIN INC	9730 ANDREW RD
29.55222	-90.533735	303	LAFOURCHE PARISH	70343CDNSHLAHWY	ACADIAN SHIPYARD INC	401		723 HWY 24
29.943831	-91.844729	303	IBERIA PARISH	70560NTCNW5315C	CAMERON SOLUTIONS INC	467	CAMERON INTERNATIONAL CORP	5315 CURTIS LN
29.943868	-91.844729	302	IBERIA PARISH	70560BYPPC5310C	THE BAYOU COS LLC	467	BAYOU HOLDINGS OF NEW IBERIA	5200 CURTIS LN
29.945283	-91.84474	301	IBERIA PARISH	70560PRMPP5811C	PERMA-PIPE OIL & GAS	466	PERMA PIPE INTERNATIONAL HOLDINGS INC	5008-11 CURTIS LN
29.94553	-91.83641	299	IBERIA PARISH	70560XCLBR462SL	EXCALIBAR MINERALS LLC	468	NEWPARK RESOURCES INC	4602 S LEWIS ST
29.65365	-90.53592	296	LAFOURCHE PARISH	70374LCKPRHWY30	HALTER MARINE INC.	298	TRINITY INDUSTRIES INC	6130 HWY. 308
29.949014	-91.826522	295	IBERIA PARISH	7056WDCRRS582PR	4-D CORROSION CONTROL SPECIALI STS INC WEST YARD	359	4-D CORROSION CONTROL SPECIALISTS INC	5802 PORT RD
29.94395	-91.83958	292	IBERIA PARISH	705604DCRR4911S	4-D CORROSION CONTROL SPECIALI STS INC-MAIN YARD	468	4-D CORROSION CONTROL SPECIALISTS INC	4911 S LEWIS ST
29.657473	-91.120115	290	ST MARY PARISH	70381CNRDS29DUH	CONRAD SHIPYARD LLC (DEEPWATER YARD)	383	CONRAD INDUSTRIES INC	1199 DUHON BLVD
29.64444	-91.09306	289	ST MARY PARISH	70340MDSTR16DUH	MARTIN OPERATING PTNR - AMELIA	370	MARTIN OPERATING PTNR LP	106 DUHON BYP
29.774031	-90.080702	287	JEFFERSON PARISH	70072LMNMBENDOF	ALUMINUM BOATS INC.	348	TRINITY INDUSTRIES INC	END OF ROSETHORNE RD.
29.74778	-93.87101	287	CAMERON PARISH	7063WTXSBN9243G	TXI-SABINE PASS CBP	636	MARTIN MARIETTA MATERIALS INC	9243 GULF BEACH HWY
29.574069	-90.594061	280	LAFOURCHE PARISH	7034WBRGDR136DR	LEBEOUF BROS TOWING LLC DBA BOURG DRY DOCK & SERVICE	381	LEBEOUF BROS TOWING LLC	136 DRY DOCK RD
30.064578	-93.354688	280	CALCASIEU PARISH	7066WRDYMX7929D	READY MIX USA LLC - SULPHUR PLANT	420	CEMEX INC	7929 DOCK BOARD RD
29.585708	-90.375996	277	LAFOURCHE PARISH	70373NRTHM800IN	NORTH AMERICAN SHIPBUILDING LLC-LAROSE SHIPYARD	333		800 INDUSTRIAL PARK RD
29.903808	-91.726086	275	IBERIA PARISH	70544NTRPRRTE1P	M. A. PATOUT & SON LTD., ENTERPRISE FACTORY	496		3512 J. PATOUT BURNS RD., OFF LA. HWY. 673
29.573733	-90.706523	273	TERREBONNE PARISH	70360GMCXX202IN	WEATHERFORD GEMOCO	416	WEATHERFORD INTERNATIONAL LTD	202 INDUSTRIAL BLVD
29.66993	-91.09315	266	ST MARY PARISH	7038WCNRDL9752U	CONRAD ALUMINUM LLC	347	CONRAD INDUSTRIES INC	9752 US HWY 182 E
30.096415	-93.332715	262	CALCASIEU PARISH	70665MRNCL8086G	BOLLINGER CALCASIEU LLC	405	BOLLINGER SHIPYARDS INC	8086 GLOBAL DR
29.128322	-90.196475	256	LAFOURCHE PARISH	7035WFRCHN3ADAM	C-TERMINAL LLC	302	MARTIN OPERATING PTNR LP	300 ADAM TED GISCLAIR RD
29.663202	-91.127022	256	ST MARY PARISH	70380MRNSHHIGHW	MARINE SHALE PROCESSORS INC.	390		9828 HWY. 90
29.891146	-92.121563	256	VERMILION PARISH	70510GRNDS1761S	GRAND ISLE SHIPYARD	390	NANA DEVELOPMENT CORP	SCHRIEFER DR
32.68862	-92.08733	254	OUACHITA PARISH	71280MCFRTLOUIS	KOCH FERTILIZER LLC - STERLINGTON TERMINAL	366	KOCH INDUSTRIES INC	520 SOLVENT AVE
30.110144	-93.276949	252	CALCASIEU PARISH	7060WSHWMD3191W	SHAW MODULAR SOLUTIONS	381	MCDERMOTT INTERNATIONAL INC.	3191 W LINCOLN RD
29.647364	-91.122702	250	ST MARY PARISH	70340BLLNG697DE	BOLLINGER MORGAN CITY INC.	390	BOLLINGER SHIPYARDS INC	697 DE GRAVELLE RD.
30.23033	-93.28575	242.5	CALCASIEU PARISH	70669PPGNDCOLUM	EAGLE US 2 LLC	346	WESTLAKE CHEMICAL CORP	1300 PPG DR
29.69058	-91.20777	242	ST MARY PARISH	7038WBKRHG1FIRS	BAKER HUGHES OILFIELD OPERATIONS LLC	363	BAKER HUGHES A GE CO LLC	100 FIRST STREET
30.502665	-91.173395	233	EAST BATON ROUGE PARISH	70821CPLYM5955S	EXXONMOBIL BATON ROUGE CHEMICAL PLANT NORTH	582	EAST WEST COPOLYMER & RUBBER LLC	1836 SHADA AVE
29.94631	-91.81497	231	IBERIA PARISH	70560XTRMN3615K	OFFSHORE INLAND MARINE & OILFIELD SERVICES	473		3615 KINGSTON RD
29.23845	-89.99088	229	JEFFERSON PARISH	70358GRNDS432MI	GRAND ISLE SHIPYARD	322		432 MINNICH
30.78196	-89.86162	228	WASHINGTON PARISH	70427GYLRD42WIL	GAYLORD CHEMICAL CO LLC	401	GAYLORD CHEMICAL CO LLC	420 WILLIS AVE
29.576913	-90.715577	228	TERREBONNE PARISH	70363SKGTS1180M	OIL STATES INDUSTRIES - HOUMA	410	OIL STATES INDUSTRIES	1180 MULBERRY RD
29.127224	-90.196032	227	LAFOURCHE PARISH	7035WBLLNG236AD	BOLLINGER FOURCHON NORTH	317	BOLLINGER SHIPYARDS LLC	236 ADAM TED GISCLAIR RD
29.61486	-90.4901	227	LAFOURCHE PARISH	70374BLLNGLAHWY	BOLLINGER SHIPYARDS LOCKPORT LLC	326	BOLLINGER SHIPYARDS LLC	8365 HWY 308 S
29.65	-91.122222	227	ST MARY PARISH	70340MGPRT1087D	OMEGA PROTEIN INC.	392	OMEGA PROTEIN INC	1087 DEGRAVELLE RD.
29.55431	-90.67573	226	TERREBONNE PARISH	70363HMCTN209EW	TUBOSCOPE VETCO INTERNATIONAL INC HOUMA COATING PLANT	438	TUBOSCOPE VETCO INTERNATIONAL INC	209 E. WOODLAWN RANCH RD.
30.197356	-92.596943	225	ACADIA PARISH	70556GSXRCUSHWY	GSX RECOVERY SYSTEMS INC	259	GSX CHEMICAL SERVICES INC	U.S. HWY. 90
29.648543	-91.112045	220	ST MARY PARISH	70340MCDRMDEGRA	BOLLINGER MARINE FABRICATORS LLC	327	BOLLINGER SHIPYARDS LOCKPORT LLC	816 BOLLINGER LN
29.114674	-90.192855	219	LAFOURCHE PARISH	7035WMRTNP191AJ	MARTIN OPERATING PTNR-FOURCHON 15	339	MARTIN MIDSTREAM PTNRS LP	191 AJ ESTAY RD
29.55996	-90.6811	218	TERREBONNE PARISH	7036WVLLRC1914G	VALLOUREC TUBE-ALLOY LLC	430	VALLOUREC HOLDINGS	1914 GRAND CAILLOU
30.218908	-91.066327	218	IBERVILLE PARISH	70721CSMRPLAHWY	COS-MAR CO	639		6325 LA HWY 75
29.56677	-90.38416	214	LAFOURCHE PARISH	7037WHLLBR1853H	HALLIBURTON LAROSE GRINDING PLANT	355	HALLIBURTON ENERGY SERVICES INC	1699 HIGHWAY 24
30.50986	-91.18465	212	EAST BATON ROUGE PARISH	70821STFFRAIRLI	SOLVAY USA INC	521	SOLVAY HOLDING INC	1275 AIRLINE HWY
30.099	-90.91782	211	ST JAMES PARISH	7008WVLRMR1455H	VALERO DONALDSONVILLE ASPHALT TERMINAL	537	VALERO ENERGY CORP	10455 HIGHWAY 18
29.6607	-91.1014	211	ST MARY PARISH	7034WMRTNP141FF	MARTIN OPERATING PTNR AMELIA OFFSHORE RD	347	MARTIN OPERATING PTNR	141 OFFSHORE
30.11794	-90.981085	209	ASCENSION PARISH	7072WLDCST345ER	OLDCASTLE LAWN & GARDEN	603	OLDCASTLE INC	3405 ERVIN S COOPER
30.232727	-93.2859	207	CALCASIEU PARISH	70669TXSNTCOLUM	TETRA CHEMICALS/LAKE CHARLES P LANT	337	TETRA TECHNOLOGIES INC	1100 PPG DR
29.662741	-91.100935	201	ST MARY PARISH	70340VNDLNUSHWY	AVONDALE INDUSTRIES INC OFFSHORE DIV	347	AVONDALE INDUSTRIES INC	US HWY 90 E
29.11497	-90.20672	200	LAFOURCHE PARISH	70357MRTNT365AJ	MARTIN TERMINAL SOUTH YARD	337	MARTIN HOLDINGS LLC	365 A J ESTAY RD
30.507912	-91.181783	200	EAST BATON ROUGE PARISH	7080WCSRVC131AI	ECO-SERVICES OPERATIONS	595	PQ GROUP HOLDINGS INC	1301 AIRLINE HWY
30.101713	-90.953829	195	ASCENSION PARISH	70346MPRMM39139	AMPRO FERTILIZER INC.	414	FIRST MISSISSIPPI CORP	39139 HWY. 18 W.
29.835924	-90.001314	192	PLAQUEMINES PARISH	70037PRDCT1402B	JOTUN PAINTS INC	349		9203 HWY 23
29.594427	-90.469043	191	LAFOURCHE PARISH	70374LCKPR157FR	LOCKPORT THERMOSETS	342		157 FRONT ST.
30.099972	-90.956889	191	ASCENSION PARISH	70346TRDCH39041	TERRA MISSISSIPPI NITROGEN INC	399	TERRA INDUSTRIES INC	39139 HWY 18 W
32.454692	-93.759369	190	CADDO PARISH	71108KSTMT1430W	KAST METALS CORP	534		1430 W 59TH ST
30.61325	-91.23333	189	EAST BATON ROUGE PARISH	70791GRNTCHWY61	BASF CORP	289	BASF CORP	111 W IRENE RD
29.688778	-91.093256	188	ASSUMPTION PARISH	70340BKRHGHWY66	NOV TUBOSCOPE AMELIA NORTH & SOUTH COATING & INSPECTION	288	NATIONAL OILWELL VARCO LP	2112 HIGHWAY 662 - 1844 HIGHWAY 662
29.688335	-91.18091	186	ST MARY PARISH	7038WMRTNN325YU	MARTIN ENERGY SERVICES-MORGAN CITY 31	344	MARTIN MIDSTREAM PTNRS LP	3205 YOUNGS RD
30.037596	-92.637763	186	VERMILION PARISH	7054WDCKXX2254S	193 DOCK	285	MARTIN MIDSTREAM PTNRS LP	2254 S TALENS LANDING RD
30.11837	-93.29295	186	CALCASIEU PARISH	70605LKCHR3943G	LAKE CHARLES CARBON CO	399	ALCOA CORP	4040 W TANK FARM RD
29.59408	-90.46846	185	LAFOURCHE PARISH	70374VLNTNRT2BO	VALENTINE SUGARS INC.	342		129 VALENTINE DR., BOX 625
29.1295	-90.21561	184	LAFOURCHE PARISH	70357CPRTL169TH	C-PORT LLC	330		106 9TH ST LOT 1
29.592236	-90.465048	184	LAFOURCHE PARISH	70374VLNTNHWY30	VALENTINE PAPER INC.	340		139 JOE BROWN RD
30.21807	-91.05467	183	ASCENSION PARISH	70734RHNPL10810	INNOPHOS INC	632	INNOPHOS INC	10810 LA-75
32.45469	-93.75943	180	CADDO PARISH	71108HCSTL1431W	HICA STEEL FOUNDRY & UPGRADE CO	534	HICA STEEL FNDY & UPGRADE CO	1431 W 59TH ST
30.125259	-90.912628	178	ASCENSION PARISH	70725DPNTB3460H	VEOLIA BURNSIDE PLANT	644	VEOLIA NA REGENERATION SERVICES LLC	3460 HWY 44
29.994105	-93.396277	176	CAMERON PARISH	*	*	320	FLUOR CORP	1450 BLACK LAKE RD
30.51379	-91.18062	175	EAST BATON ROUGE PARISH	70807PTRSN1100M	DRISCOLL MANAGEMENT LLC	416		1100 MENGEL RD
29.123879	-90.201477	173	LAFOURCHE PARISH	70357CPRT2181ST	C-PORT 2 LLC	340		180 1ST ST
29.12703	-90.21505	171	LAFOURCHE PARISH	70357BLLNG16NRM	BOLLINGER FOURCHON LLC	331	BOLLINGER SHIPYARDS LLC	106 NORMAN DOUCET DR
31.376178	-92.424724	170	RAPIDES PARISH	71360DSTRN529CE	DIS-TRAN OVERHEAD SOLUTIONS LLC	323		529 CENLA DR
29.14118	-90.21803	169	LAFOURCHE PARISH	7035WMRTNP1NRMA	MARTIN OPERATING PTNR - FOURCHON 17	289	MARTIN OPERATING PTNR LP	1 NORMAN DOUCET DR
29.688306	-91.165394	169	ST MARY PARISH	70380NWFFS6032R	NEW INDUSTRIES LLC	377		6032 RAILROAD AVE
32.55072	-93.66638	168	BOSSIER PARISH	71111LPPRT4819H	LIPPERT COMPONENTS INC. PLANT 15	270	LIPPERT COMPONENTS MANUFACTURING INC	4819 HAZEL JONES RD
30.05073	-90.53908	167	ST JOHN THE BAPTIST PARIS	70084BRLCHNORTH	BEROL NOBEL INC.	606	BEROL NOBEL CORP	N.W. 19TH ST.
30.107137	-93.292029	166	CALCASIEU PARISH	7060WLKCHR821HE	MARTIN OPERATING PTNR - LAKE CHARLES DOCK	425	MARTIN OPERATING PTNR LP	3700 HENRY PUGH BLVD
30.0009	-90.27704	164	JEFFERSON PARISH	70062SFTYK2423T	SAFETY-KLEEN SYSTEMS KENNER (KEN)	236	CLEAN HARBORS INC	2423 TYLER ST
30.08367	-90.91325	164	ST JAMES PARISH	70346GRCCHLAHIG	MOSAIC PHOSPHATES CO FAUSTINA PLANT	657	THE MOSAIC CO	9959 HWY LA 18
29.710874	-91.081074	164	ASSUMPTION PARISH	70381MRNCNSTATI	MCDERMOTT INC	282	MCDERMOTT INTERNATIONAL INC	2317 HWY 662 S
29.69098	-91.19631	164	ST MARY PARISH	7038WMRTNP1YUNG	MARTIN OPERATING PTNR - MORGAN CITY 33	382	MARTIN OPERATING PTNR LP	1000 YOUNGS RD
30.005251	-92.781367	162	CAMERON PARISH	70549STHRN149RI	SOUTHERN MANUFACTURING CO	355	SOUTHERN MANUFACTURING CO	149 RIVER RD
30.53649	-90.974838	158	LIVINGSTON PARISH	70706CBSRV6865M	CBI SERVICES INC.	483	CBI IND INC	6865 MAGNOLIA BEACH RD.
29.929575	-89.933467	157	ST BERNARD PARISH	70075CHMCT3100A	CHEMCAT CORP	197		3100A E ST BERNARD HWY
30.585781	-91.243652	156	EAST BATON ROUGE PARISH	70874SCHYLWESTE	EXIDE TECHNOLOGIES - BATON ROUGE RECYCLING CENTER	501	EXIDE TECHNOLOGIES	2400 BROOKLAWN DR
30.05392	-90.64396	154	ST JOHN THE BAPTIST PARIS	7007WPNKTR46HIG	MT AIRY TERMINAL LLC	638		4006 HIGHWAY 44
30.57836	-91.21532	153	EAST BATON ROUGE PARISH	70807GRWTM453SP	PPG BATON ROUGE	686	PPG INDUSTRIES INC	453 SPRINGFIELD RD
29.706249	-91.216039	150	ST MARY PARISH	70380CNRDN1501F	CONRAD SHIPYARD LLC (MAIN YARD)	301	CONRAD INDUSTRIES INC	1501 FRONT ST
30.279842	-91.904123	148	ST MARTIN PARISH	70517BRXBRPOBOX	LOUISIANA SUGARCANE COOP. BREAUX BRIDGE BRANCH	300		CORNER OF REES & REFINERY ST.
29.689691	-91.171277	147	ST MARY PARISH	70380DLTST62RAI	DELTA STEEL LP	384	RELIANCE STEEL & ALUMINUM	6020 RAILROAD AVE
30.270473	-89.763396	146	ST TAMMANY PARISH	70459SLDLLPOBOX	SLIDELL MARBLE CO.	366		1594 SHORTCUT HWY.
30.08013	-90.916	146	ST JAMES PARISH	70086CHVRNHWY18	AMERICAS STYRENICS LLC	383	AMERICAS STYRENICS LLC	9901 HWY 18
30.27053	-89.76285	144	ST TAMMANY PARISH	70458GLFST168DA	GULF STATE MARBLE INC	366		1680 DANRY ST
30.27183	-91.11675	144	IBERVILLE PARISH	70776NTRGY2605H	ENTERGY WILLOW GLEN PLANT	661	ENTERGY CORP	2605 HWY 75
32.48781	-92.14474	143	OUACHITA PARISH	71292STHRN67JNE	SOUTHERN GRAPHIC SYSTEMS INC	465	SGS INTERNATIONAL	607 JONESBORO RD
29.9307	-90.34736	142	ST CHARLES PARISH	70070CCDNT12501	OCCIDENTAL CHEMICAL CORP LULING	597	OCCIDENTAL CHEMICAL HOLDING CORP	12501 RIVER RD
30.12044	-93.40128	142	CALCASIEU PARISH	70665CHMCL7170J	CHEMICAL WASTE MANAGEMENT - LA KE CHARLES FACILITY	288	WASTE MANAGEMENT INC	7170 JOHN BRANNON RD
30.415278	-90.157604	140	ST TAMMANY PARISH	70447QTBLXHWY21	TRINITY MARINE PRODUCTS INC PLT 1038	347	TRINITY INDUSTRIES INC	150 HWY 21
29.96945	-90.29179	136	ST CHARLES PARISH	70087DLTPT10352	SAFETY-KLEEN SYSTEMS - ST ROSE	267	CLEAN HARBORS INC	10352 RIVER RD
29.59432	-90.66646	136	TERREBONNE PARISH	70363LFRGN3579I	LAFARGE HOUMA RMX 30453	344	LAFARGE N.A. INC	3579 INDUSTRIAL AVE A
29.922442	-90.058794	134	JEFFERSON PARISH	70053NWMLT80FIR	NEW MALTER INC	172		80 FIRST ST
30.23771	-93.25821	133	CALCASIEU PARISH	70669BLBNCI10WE	BIO-LAB INC	274	KIK INTERNATIONAL LLC	910 I 10 SERVICE RD
30.233499	-93.331595	132	CALCASIEU PARISH	70664PLNTM115PR	PLANT MAINTENANCE SERVICES	356		115 PRODUCTION DR
29.80209	-91.81128	131	IBERIA PARISH	70560MRTNNHWY83	CVD CERAMICS INC	600	HELLMA MATERIALS US	11911 ADVANCED MATERIALS RD
31.38031	-92.42749	129	RAPIDES PARISH	71361WLLMT4502I	WILLAMETTE VALLEY CO	388	WILLAMETTE VALLEY CO	4502 WILLAMETTE BLVD
30.39064	-91.228607	128	WEST BATON ROUGE PARISH	70719HRRYL5133S	HARRY L. LAWS & CO INC	455	HARRY L LAWS & CO INC	5133 S FLORENCE AVE
30.1338	-93.3206	128	CALCASIEU PARISH	70606CLCSRWESTE	CALCASIEU REFINING CO	368	TRANSWORLD OIL USA INC	4359 W TANK FARM RD
30.05261	-90.46986	126	ST JOHN THE BAPTIST PARIS	70068HNSNP211MC	FORTERRA PIPE & PRECAST - LAPLACE	286	FORTERRA INC	211 MCREINE RD
30.238889	-93.281944	126	CALCASIEU PARISH	70669RPRDC12TRU	AIR PRODUCTS & CHEMICALS INC	287	AIR PRODUCTS & CHEMICALS INC	102 TROUSDALE RD
29.91527	-90.14167	125	JEFFERSON PARISH	70094GLFST175AV	GULF STATES ASPHALT CO. INC.	179	GULF STATES ASPHALT CO INC	175 AVE. A
29.94845	-90.17307	124	JEFFERSON PARISH	70121BRTLT4955R	BARTLETT CHEMICALS INC	177		4955 RIVER RD
30.052454	-90.670183	124	ST JAMES PARISH	70052LRCHCPOBOX	LAROCHE INDUSTRIES INC. GRAMERCY FACILITY	607	LAROCHE INDUSTRIES INC	1134 JEFFERSON HWY.
29.94829	-90.14766	122	JEFFERSON PARISH	7009WNTRGY1617R	ENTERGY LOUISIANA LLC - NINEMILE POINT PLANT	192	ENTERGY CORP	1617 RIVER ROAD
30.698703	-91.269664	122	EAST FELICIANA PARISH	7074WZCHRY498HI	ZACHARY BATCH PLANT	534	DOLESE BROS. CO.	498 HIGHWAY 61
32.005405	-93.387829	122	RED RIVER PARISH	7101WDCRBN21RED	ADA CARBON SOLUTIONS (RED RIVER) LLC	627	ADA CARBON SOLUTIONS LLC	201 RED RIVER MINE RD
29.985278	-90.392778	121	ST CHARLES PARISH	70047TRNSM14902	VALERO REFINING - NEW ORLEANS LLC	559	VALERO ENERGY CORP	14902 RIVER RD
30.043142	-90.627809	121	ST JOHN THE BAPTIST PARIS	70051STCKH3606H	EVONIK CORP	625	EVONIK INDUSTRIES	3606 HWY 44
29.59695	-90.66407	121	TERREBONNE PARISH	7036WHMDCK314IN	MARTIN OPERATING PTNR - HOUMA DOCK	344	MARTIN OPERATING PTNR LP	314 INDUSTRIAL AVENUE C
30.378056	-89.741111	120	ST TAMMANY PARISH	70452CHMLNI59NO	POLYCHEMIE INC. PEARL RIVER PLANT	215	SNF HOLDING CO	65275 PUMP SLOUGH RD I-59 N EXIT 5A
29.91045	-90.086482	120	JEFFERSON PARISH	70059SGMCT3300R	SIGMA COATINGS	154	FINA OIL & CHEMICAL CO	3300 RIVER RD.
31.947107	-92.59098	118	WINN PARISH	71440MNVLLHWY34	WEST FRASER INC JOYCE MILL	432	WEST FRASER TIMBER CO LTD	6481 HWY 34 N
30.07357	-90.56453	117	ST JOHN THE BAPTIST PARIS	70084JNSCH520WE	DPC ENTERPRISES LP	221		620 W 10TH ST
29.93061	-90.34702	116	ST CHARLES PARISH	70070SLTNC12501	SOLUTIA INC LULING	597	SOLUTIA INC	12501 RIVER RD
32.11501	-92.68689	116	WINN PARISH	71422WLLMTHWY16	WEYERHAEUSER CO-DODSON DIV	249	WEYERHAEUSER CO	706 HWY 167 N
30.07155	-90.57216	115	ST JOHN THE BAPTIST PARIS	70084BTZLB500RO	CLARIANT CORP - RESERVE FACILITY	251	CLARIANT CORP	334 ROSENWALD ST
30.273379	-91.204316	115	IBERVILLE PARISH	7076WNGLLC25583	ANGELLE CONCRETE PORTABLE PLANT 2	261	ANGELLE CONCRETE GROUP LLC	25583 HIGHWAY 405
30.433715	-91.200216	113	WEST BATON ROUGE PARISH	70767CHMLG2161H	CHEM-LIG INTL. IND. INC.	580	CHEM-LIG INTL IND INC	2161 HWY. LA 1 S.
30.58348	-91.240545	113	EAST BATON ROUGE PARISH	70807GRTLK2200B	OXBOW CALCINING LLC	332	OXBOW CARBON & MINERALS HOLDINGS INC.	2200 BROOKLAWN DR
29.862595	-89.971049	112	PLAQUEMINES PARISH	70040MXMTLLAHWY	AMAX METALS RECOVERY INC.	196	PHELPS DODGE CORP	3607 ENGLISH TURN RD
29.729802	-90.596491	112	LAFOURCHE PARISH	70394RCLNDHWY31	RACELAND RAW SUGAR CORP	172	M A PATOUT & SON	LA HWY 3199 E
