MAX(SubmissionYear),FacilityID,FacilityNumber,FRSID,Latitude,Longitude,LLOverridden,GridCode,X,Y,LatLongSource,LLYear,LLNotes,RadialDistance,FacilityName,Street,City,County,State,ZIPCode,ZIP9,FIPS,STFIPS,DUNS,ParentDUNS,ParentName,StandardizedParentCompany,Region,FederalFacilityFlag,FederalAgencyName,PublicContactName,PublicContactPhone,PublicContactPhoneExtension,PublicContactEmail,StackHeight,StackVelocity,StackDiameter,StackTemperature,StackHeightSource,StackVelocitySource,StackDiameterSource,StackTemperatureSource,StackHeightNEIYear,StackVelocityNEIYear,StackDiameterNEIYear,StackTemperatureNEIYear,ChromHexPercent,ChromSource,NewIndustryFlag,ModeledNAICS,NAICSCode3Digit,NAICSCode4Digit,NAICSCode5Digit,NAICS1,NAICS2,NAICS3,NAICS4,NAICS5,NAICS6,SIC1,FinalReach,FinalCOMID,ReachSource,DistanceToReach,HEM3ID,DistanceToHEM3,LLConfirmed,WaterReleases,ModeledReleases,ModChromReleases,DistanceToTribalLand,TribalLandName,FullNameTribalLand
2001,75006GMMNG1700S,47066,110012703789,32.95932,-96.8468,0,14,-97,1357,FRS,2019,NULL,NULL,GAMMON GROUP  LLC,1700 SURVEYOR BLVD,CARROLLTON,DALLAS,TX,75006,75006,48113,48,122349541,8776853,CROSSROADS LLC,NULL,6,C,NA,CRAIG MICKLOW,9724168403,NULL,NULL,8.4,10.1,0.5,330.9,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,6DigitNAICS,NULL,334220,334,3342,33422,334220,NULL,NULL,NULL,NULL,NULL,3679,NULL,1279582,NULL,365.2760314,13960,12495.54022,NULL,NULL,1,NULL,NULL,NULL,NULL
1994,75006HLTND1671S,47067,110012491044,32.943993,-96.901175,0,14,-103,1355,FRS,2019,NULL,NULL,HILITE INDUSTRIES INC,1671 S BROADWAY,CARROLLTON,DALLAS,TX,75006,75006,48113,48,174108092,NULL,NULL,NULL,6,C,NULL,ROBERT BROWN,2142422116,NULL,NULL,9.6,11.8,0.9,295.4,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,336211,336,3362,33621,336211,NULL,NULL,NULL,NULL,NULL,3714,NULL,1279598,NULL,1037.644847,13960,11758.58595,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,75006KTCHM1200W,47068,110009499113,32.9757,-96.91866,0,14,-105,1359,FRS,2019,NULL,NULL,FUJIFILM ULTRA PURE SOLUTIONS INC,1200 W JACKSON RD,CARROLLTON,DALLAS,TX,75006,75006,48113,48,198293487,197596625,FUJIFILM ELECTRONIC MATERIALS USA INC.,FUJIFILM ELECTRONIC MATERIALS USA INC,6,C,NULL,MARK CLINE,9725125854,NULL,MARK.CLINE@FUJIFILM.COM,11.6,5.4,0.6,356.5,Fac Spec,Fac Spec,Fac Spec,Fac Spec,2014,2014,2014,2014,0.25,6DigitNAICS,NULL,325998,325,3259,32599,325998,NULL,NULL,NULL,NULL,NULL,2899,NULL,1279574,NULL,1143.289921,3927,13590.79985,NULL,NULL,1,NULL,NULL,NULL,NULL
2018,75006LCTRP1430C,47069,110000456006,32.9559,-96.91881,0,14,-105,1357,FRS,2019,NULL,NULL,ELECTRO PLATE CIRCUITRY INC,1430 CENTURY DR,CARROLLTON,DALLAS,TX,75006,75006,48113,48,11912722,NA,ELECTRO PLATE CIRCUITRY INC,ELECTRO PLATE CIRCUITRY INC,6,C,NULL,JAMES MCNEAL,9724660818,NULL,JIMM@EPLATE.COM,10.1,8.6,0.6,310.9,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,334412,334,3344,33441,334412,NULL,NULL,NULL,NULL,NULL,3672,NULL,1279586,NULL,331.1265264,3927,12337.72451,NULL,NULL,1,NULL,NULL,NULL,NULL
2009,75006LCTRP1525C,47070,110005183470,32.95775,-96.91958,0,14,-105,1357,FRS,2019,NULL,NULL,ELECTRO PLATE CIRCUITRY INC.,"1525 CAPITAL, SUITE 100",CARROLLTON,DALLAS,TX,75006,75006,48113,48,11912722,NA,ELECTRO PLATE CIRCUITRY INC,NULL,6,C,NULL,JAMES MCNEAL,9724660818,NULL,JIMM@EPLATE.COM,10.1,8.6,0.6,310.9,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,334412,334,3344,33441,334412,NULL,NULL,NULL,NULL,NULL,3672,NULL,1279586,NULL,545.4180376,3927,12381.03638,NULL,NULL,1,NULL,NULL,NULL,NULL
1993,75006LFDSG2735E,47071,110002130710,32.95326,-96.85798,0,14,-98,1356,FRS,2019,NULL,NULL,BIRD LIFE DESIGN,2735 E BELTLINE,CARROLLTON,DALLAS,TX,75006,75006,48113,48,NA,131235145,BIRD MEDICAL TECHS INC,NULL,6,C,NULL,ROBERT ADCOCK,2143858555,NULL,NULL,9.1,8.5,0.6,313.7,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,339999,339,3399,33999,339999,NULL,NULL,NULL,NULL,NULL,3999,NULL,1279600,NULL,166.3904442,13960,11833.50374,NULL,NULL,1,NULL,NULL,NULL,NULL
1989,75006LYBLD1313V,47072,110005080081,32.93899,-96.91235,0,14,-105,1354,FRS,2019,NULL,NULL,LEYBOLD INC TX,1313 VALWOOD PKY 370,CARROLLTON,DALLAS,TX,75006,75006,48113,48,60002243,NA,NA,NULL,6,C,NULL,DAVE SAMPSELL,2142471811,NULL,NULL,9.6,9.7,0.8,298.1,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.039999999,6DigitNAICS,NULL,333911,333,3339,33391,333911,NULL,NULL,NULL,NULL,NULL,3561,NULL,1279596,NULL,722.8720319,13960,11723.48926,NULL,NULL,1,NULL,NULL,NULL,NULL
1988,75006NTRNT1655S,47073,110002446247,32.94357,-96.90344,0,14,-104,1355,FRS,2019,NULL,NULL,INTERNATIONAL PAPER CONTAINER DIV,1655 SOUTH I-35E,CARROLLTON,DALLAS,TX,75006,75006,48113,48,7359805,1316561,INTERNATIONAL PAPER CO,NULL,6,C,NULL,GEORGE KOREN,2144469890,NULL,NULL,10.7,10,0.7,355.4,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,322211,322,3222,32221,322211,NULL,NULL,NULL,NULL,NULL,2653,NULL,1279598,NULL,1180.064191,13960,11801.61799,NULL,NULL,1,NULL,NULL,NULL,NULL
1989,75006PLSTC1223T,47074,110002130738,32.94938,-96.91007,0,14,-104,1356,FRS,2019,NULL,NULL,PLASTECH CORP,1223 TAPPAN CIRCLE,CARROLLTON,DALLAS,TX,75006,75006,48113,48,NA,NULL,NULL,NULL,6,C,NULL,REX B. RAYFIELD,2144469222,NULL,NULL,9.4,9.7,0.7,299.8,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.109999999,6DigitNAICS,NULL,326121,326,3261,32612,326121,NULL,NULL,NULL,NULL,NULL,3082,NULL,1279586,NULL,718.7991362,13960,12649.61618,NULL,1,1,NULL,NULL,NULL,NULL
1994,75006PRCSN1745S,47075,110002130747,32.968573,-96.922023,0,14,-106,1358,FRS,2019,NULL,NULL,PRECISION INDUSTRIAL COATINGS INC,1745 SANDY LAKE RD,CARROLLTON,DALLAS,TX,75006,75006,48113,48,49159551,NA,NA,NULL,6,C,NULL,LINDA SENTER,2144820682,NULL,NULL,9.8,6,0.5,302.6,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,325510,325,3255,32551,325510,NULL,NULL,NULL,NULL,NULL,2851,NULL,1279574,NULL,1574.494116,3927,12861.0294,NULL,NULL,1,NULL,NULL,NULL,NULL
1993,75006PRNCG1225T,47076,110002130756,32.94941,-96.91015,0,14,-104,1356,FRS,2019,NULL,NULL,PRINCE GOLF INTERNATIONAL LTD,1225 TAPPAN CIRCLE,CARROLLTON,DALLAS,TX,75006,75006,48113,48,184074837,58980566,PRINCE SPORTS GROUP INC,NULL,6,C,NULL,AJAY VORA,2142420300,NULL,NULL,9.1,8.5,0.6,313.7,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,339920,339,3399,33992,339920,NULL,NULL,NULL,NULL,NULL,3949,NULL,1279586,NULL,712.1379262,13960,12655.87532,NULL,NULL,1,NULL,NULL,NULL,NULL
2002,75006PTKTC1215W,47077,110012489850,32.94654,-96.91396,0,14,-105,1355,FRS,2019,NULL,NULL,OPTEK TECHNOLOGIES INC,1215 W CROSBY RD,CARROLLTON,DALLAS,TX,75006,75006,48113,48,99710451,8965659,DYSON-KISSNER-MORAN CORP,NULL,6,C,NULL,SHIRLEY SWARD,9723237006,NULL,NULL,11.2,7.2,0.6,310.9,Fac Spec,Fac Spec,Fac Spec,NAICS 4 Digit,2005,2005,2005,2014,0.340000004,Default,NULL,334413,334,3344,33441,334413,NULL,NULL,NULL,NULL,NULL,3674,NULL,1279586,NULL,530.3899785,3927,12256.85789,NULL,NULL,1,NULL,NULL,NULL,NULL
2005,75006RFTPS1811T,47078,110025333878,32.92252,-96.93014,0,14,-107,1352,FRS,2019,NULL,NULL,ROOFTOP SYSTEMS INC.,1811 TRINITY VALLEY DR,CARROLLTON,DALLAS,TX,75006,75006,48113,48,10678678,184101194,TOMKINS CORP,NULL,6,C,NULL,JIM MCCANDLESS,9722476855,NULL,NULL,10,9.1,0.8,298.1,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.039999999,6DigitNAICS,NULL,332322,332,3323,33232,332322,NULL,NULL,NULL,NULL,NULL,3444,NULL,1279604,NULL,176.0751511,3927,9923.072478,NULL,NULL,1,NULL,NULL,NULL,NULL
1995,75006RTHGR1905C,47079,110000559459,32.96229,-96.888681,0,14,-102,1357,FRS,2019,NULL,NULL,EARTHGRAINS REFRIGERATED DOUGH PRODUCTS,1905 COUNTRY CLUB DR,CARROLLTON,DALLAS,TX,75006,75006,48113,48,22820286,7322340,EARTHGRAINS CO,NULL,6,C,NULL,FRANK HAMPSHIRE,3149821700,NULL,NULL,10.1,7.6,0.4,422,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,311822,311,3118,31182,311822,NULL,NULL,NULL,NULL,NULL,2045,NULL,1279586,NULL,529.4661163,13960,13293.52001,NULL,NULL,1,NULL,NULL,NULL,NULL
2009,75006SGSTH1310E,47080,110017299145,32.944013,-96.915838,0,14,-105,1355,FRS,2019,NULL,NULL,ST MICROELECTRONICS INC.,1310 ELECTRONICS DR,CARROLLTON,DALLAS,TX,75006,750065039,48113,48,186726667,NA,ST MICROELECTRONICS NV,NULL,6,C,NULL,RICHARD COLEMAN,9724666023,NULL,RICHARD.COLEMAN@ST.COM,13.8,9,0.9,310.9,Fac Spec,Fac Spec,Fac Spec,NAICS 4 Digit,2005,2005,2005,2014,0.340000004,Default,NULL,334413,334,3344,33441,334413,NULL,NULL,NULL,NULL,NULL,3674,NULL,1279596,NULL,348.2741052,3927,11980.82979,NULL,NULL,1,NULL,NULL,NULL,NULL
2007,75006SPXDC1612H,47081,110015781572,32.94255,-96.91683,0,14,-105,1355,FRS,2019,NULL,NULL,4FRONT ENGINEERED SOLUTIONS,1612 HUTTON DR SUITE 140,CARROLLTON,DALLAS,TX,75006,75006,48113,48,6024129,6024129,4FRONT ENGINEERED SOLUTIONS,NULL,6,C,NA,ROBERT WRIGHT,9724660707,NULL,ROBERT.WRIGHT@4FRONTES.COM,9.8,7.9,0.7,298.1,Fac Spec,Fac Spec,Fac Spec,NAICS 4 Digit,2005,2005,2005,2014,0.050000001,6DigitNAICS,NULL,333924,333,3339,33392,333924,NULL,NULL,NULL,NULL,NULL,3441,NULL,1279596,NULL,243.1720051,3927,11830.46377,NULL,NULL,1,NULL,NULL,NULL,NULL
2009,75006SSLRL175MN,47082,110005188279,32.94199,-96.90744,0,14,-104,1355,FRS,2019,NULL,NULL,LABORATORIES OF AMERICA INC (DBA AVISIA),1750 MONETARY LN,CARROLLTON,DALLAS,TX,75006,75006,48113,48,104270785,64114564,ESSILOR LABORATORIES OF AMERICA,NULL,6,C,NULL,KEITH SIMMONDS,8173688512,NULL,KSIMMONDS@ESSILORUSA.COM,10.3,8.6,0.6,309.5,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,333314,333,3333,33331,333314,NULL,NULL,NULL,NULL,NULL,3851,NULL,1279598,NULL,1264.756898,13960,11803.93975,NULL,NULL,1,NULL,NULL,NULL,NULL
1994,75006STHWS2151H,47083,110002130765,32.93439,-96.9149,0,14,-105,1354,FRS,2019,NULL,NULL,SOUTHWEST SANITARY DISTRIBUTING CO INC,"2151 HUTTON DR, SUITE 150",CARROLLTON,DALLAS,TX,75006,750066868,48113,48,54518311,NA,NA,NULL,6,C,NULL,JACK C. HELTON,2144161080,NULL,NULL,11,7.1,0.4,319.8,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,325611,325,3256,32561,325611,NULL,NULL,NULL,NULL,NULL,2841,NULL,1279596,NULL,841.5021614,13960,11402.8081,NULL,NULL,1,NULL,NULL,NULL,NULL
2018,75006STHWS2901B,47084,110000456024,32.98063,-96.85098,0,14,-98,1360,FRS,2019,NULL,NULL,CENTURY PRODUCTS INC,2901 BELMEADE DR,CARROLLTON,DALLAS,TX,75006,75006,48113,48,54518311,6154611,ECOLAB INC,ECOLAB INC,6,C,NULL,ROMAN BLAHOSKI,6512934385,NULL,ROMAN.BLAHOSKI@ECOLAB.COM,11,7.1,0.4,319.8,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.340000004,Default,NULL,325611,325,3256,32561,325611,NULL,NULL,NULL,NULL,NULL,2841,NULL,1279576,NULL,887.1979754,13960,14858.94551,NULL,NULL,1,NULL,NULL,NULL,NULL
1998,75006TBFRM1533C,47085,110000456033,32.95843,-96.91676,0,14,-105,1357,FRS,2019,NULL,NULL,TUBE FORMING INC,1533 CRESCENT DR,CARROLLTON,DALLAS,TX,75006,75006,48113,48,602362303,602362303,WOLVERINE TUBE INC,NULL,6,C,NULL,STEVEN K. MOUNCE,9724923911,NULL,NULL,9.7,8.6,0.6,308.1,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.25,6DigitNAICS,NULL,332996,332,3329,33299,332996,NULL,NULL,NULL,NULL,NULL,3498,NULL,1279586,NULL,477.5783776,3927,12645.44702,NULL,NULL,1,NULL,NULL,NULL,NULL
2012,75006TBFRM2021B,47086,110064118011,32.9512,-96.93722,0,14,-108,1356,FRS,2019,NULL,NULL,FABRICATED TUBE PRODUCTS - CARROLLTON,2101 WEST BELTLINE RD,CARROLLTON,DALLAS,TX,75006,75006,48113,48,NA,NA,OVERSTREET-HUGHES CO INC.,MUELLER INDUSTRIES INC,6,C,NULL,STEVEN K. MOUNCE,9728623911,NULL,STEVE@MOUNCE.NET,8.3,5.1,0.5,308.1,Fac Spec,Fac Spec,Fac Spec,NAICS 4 Digit,2005,2005,2005,2014,0.25,6DigitNAICS,NULL,332996,332,3329,33299,332996,NULL,NULL,NULL,NULL,NULL,3499,NULL,1279694,NULL,156.5510118,3927,10598.48137,NULL,NULL,1,NULL,NULL,NULL,NULL
2018,75006THGLD1900J,47087,110000456042,32.94114,-96.89052,0,14,-102,1354,FRS,2019,NULL,NULL,PPG ARCHITECTURAL COATINGS,1900 N JOSEY LN,CARROLLTON,DALLAS,TX,75006,75006,48113,48,NA,1344803,PPG INDUSTRIES INC,PPG INDUSTRIES INC,6,C,NULL,HANK SAUNDERS,9724177513,NULL,HSAUNDERS@PPG.COM,1.8,0,0.9,293.1,Fac Spec,Fac Spec,Fac Spec,Fac Spec,2014,2014,2014,2014,0.340000004,Default,NULL,325510,325,3255,32551,325510,NULL,NULL,NULL,NULL,NULL,2851,NULL,1279598,NULL,172.5089868,13960,11099.166,NULL,1,1,1,NULL,NULL,NULL
2003,75006TLSRC1406H,47088,110000456051,32.949117,-96.916581,0,14,-105,1356,FRS,2019,NULL,NULL,HIGH PERFORMANCE COATINGS,1406 HUTTON DR,CARROLLTON,DALLAS,TX,75006,75006,48113,48,NA,NA,NA,NULL,6,C,NULL,VINCE SNEE,9723897625,NULL,NULL,10,8.3,0.8,310.9,Fac Spec,Fac Spec,Fac Spec,NAICS 4 Digit,2005,2005,2005,2014,0.310000002,6DigitNAICS,NULL,332812,332,3328,33281,332812,NULL,NULL,NULL,NULL,NULL,3479,NULL,1279586,NULL,188.9931241,3927,12161.3596,NULL,NULL,1,NULL,NULL,NULL,NULL
1992,75006TSNGN1000W,47089,110002130783,32.94651,-96.9101,0,14,-104,1355,FRS,2019,NULL,NULL,OTIS ENGINEERING CORP,1000 W CROSBY RD,CARROLLTON,DALLAS,TX,75006,75006,48113,48,7325962,43296920,HALLIBURTON CO INC,NULL,6,C,NULL,RICHARD GRISHAM,2144183000,NULL,NULL,10.4,10.6,0.8,295.4,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit,2014,2014,2014,2014,0.449999988,6DigitNAICS,NULL,333132,333,3331,33313,333132,NULL,NULL,NULL,NULL,NULL,3533,NULL,1279586,NULL,858.3534449,13960,12364.48654,NULL,NULL,1,NULL,NULL,NULL,NULL
2018,75006TSNGN2601B,47090,110000456060,32.95346,-96.87031,0,14,-100,1356,FRS,2019,NULL,NULL,HALLIBURTON ENERGY SERVICES-CARROLLTON MFG & TECHNOLOGY,2601 E BELTLINE RD,CARROLLTON,DALLAS,TX,75006,75006,48113,48,964409007,43296920,HALLIBURTON CO,HALLIBURTON ENERGY SERVICES INC,6,C,NULL,ERIC BOUDREAUX,9724184182,NULL,ERIC.BOUDREAUX@HALLIBURTON.COM,8.2,10.4,0.6,295.4,Fac Spec,Fac Spec,Fac Spec,NAICS 4 Digit,2005,2005,2005,2014,0.449999988,6DigitNAICS,NULL,333132,333,3331,33313,333132,NULL,NULL,NULL,NULL,NULL,3533,NULL,1279598,NULL,329.3847658,13960,11974.27513,NULL,1,1,1,NULL,NULL,NULL
2018,75006TXSFN1801S,47091,110000456079,32.96096,-96.84679,0,14,-97,1357,FRS,2019,NULL,NULL,TEXAS FINISHING CO,1801 SURVEYOR BLVD,CARROLLTON,DALLAS,TX,75006,75006,48113,48,30156871,NULL,NA,NA,6,C,NULL,CAROLYN BEARD,9722413553,NULL,NULL,14.3,9.2,1,298.4,Fac Spec,Fac Spec,Fac Spec,Fac Spec,2014,2014,2014,2014,0.310000002,6DigitNAICS,NULL,332812,332,3328,33281,332812,NULL,NULL,NULL,NULL,NULL,3479,NULL,1279582,NULL,543.6017337,13960,12677.83978,NULL,NULL,1,NULL,NULL,NULL,NULL
