TotalemploymentnumberofjobsUmp,FarmemploymentUmpPCT,MiningquarryingandoilandgasextractionUmpPCT,ConstructionUmpPCT,ForestryfishingandrelatedactivitiesUmpPCT,HealthcareandsocialassistanceUmpPCT,PerCapitapersonalincome2018,GDP2018,PercentPopulationUnder18,PercentPopulationOver65,PercentNonwhite,PercentofPopulationBelowPovertyLevel,UnemploymentRate,Populationpersquaremile2010,discuss,discussOppose,reducetax,reducetaxOppose,CO2limits,CO2limitsOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,drilloffshore,drilloffshoreOppose,drillANWR,drillANWROppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,prienv,prienvOppose,teachGW,teachGWOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose
15224.0,1.05,,3.4,,2.22,34798.0,837887,24.08,15.5,16.68,19.16,2.7,63.0,26.73,73.2,52.81,46.9,55.28,44.1,47.56,20.54,47.2,21.74,48.25,27.29,51.74,20.33,58.1,16.18,52.53,17.35,63.12,36.26,51.23,48.75,67.32,31.23,40.02,58.08,77.01,22.7,76.26,23.06,26.82,71.86,63.4,33.2,66.2,33.5,51.29,27.66,41.12,41.09,35.66,33.15,44.89,55.02,33.94,55.62,47.17,41.82,50.16,36.61,52.75,35.44,55.22,33.47,37.09,62.91,43.86,10.06
5453.0,1.4,0.16,,2.18,,39280.0,547773,20.52,21.5,43.46,22.01,4.7,15.2,27.64,72.34,62.52,36.19,63.88,34.82,56.85,15.18,56.66,15.76,57.76,19.19,57.99,12.43,64.99,12.93,59.49,13.72,69.17,29.42,58.3,41.43,60.18,37.95,35.39,63.01,79.86,19.35,79.16,19.88,23.26,74.83,68.43,27.88,75.17,24.13,61.37,15.5,46.27,38.59,41.66,25.41,53.99,45.85,40.36,44.83,53.2,31.2,56.88,25.47,58.43,23.59,61.37,22.44,46.45,53.55,52.21,7.3
11700.0,0.62,0.2,1.08,1.15,,36361.0,784519,22.39,18.45,46.77,24.8,5.8,20.9,26.68,73.26,61.88,36.41,61.7,36.93,57.28,14.39,56.68,15.36,57.52,19.4,58.39,12.02,65.36,12.59,59.26,13.14,68.52,30.19,57.82,41.93,61.21,36.77,35.11,63.43,79.45,19.7,78.97,19.98,21.96,76.2,69.31,26.87,75.89,23.5,60.39,15.03,45.72,38.69,40.03,24.92,54.21,45.65,40.93,43.63,54.18,29.69,57.3,24.43,58.56,22.93,61.57,21.94,46.56,53.44,50.55,7.08
6289.0,1.92,0.01,1.37,0.73,,33530.0,339246,21.31,19.45,16.85,18.59,3.0,23.1,25.25,74.68,52.51,46.91,54.17,44.77,47.92,20.74,46.99,22.24,48.17,27.61,50.99,20.02,58.26,16.79,52.86,18.16,62.85,36.17,50.99,48.89,67.36,31.06,42.12,56.09,76.5,23.12,75.51,23.63,24.74,73.73,62.85,33.58,65.09,34.25,51.37,25.88,39.77,43.66,33.83,33.73,44.76,55.07,33.06,54.91,45.65,41.71,48.86,36.07,51.4,34.04,54.09,32.35,37.25,62.75,43.6,10.09
4037.0,2.68,,3.84,,0.85,36159.0,294019,23.15,18.48,5.44,18.74,3.2,26.7,27.62,72.35,50.8,49.34,57.34,42.78,45.6,22.0,47.71,22.1,48.78,27.53,54.3,21.33,58.63,15.54,53.7,17.06,64.71,35.34,52.33,47.48,63.58,35.33,36.2,62.03,76.77,23.06,75.8,23.98,28.35,70.45,62.08,34.37,64.59,35.4,51.8,28.4,41.92,39.35,38.75,31.74,44.66,55.19,31.5,58.74,45.27,44.78,49.46,38.03,53.9,35.28,54.81,33.92,35.51,64.49,41.07,11.2
23427.0,1.16,,1.21,,3.2,43094.0,1470262,23.73,15.96,23.72,15.9,2.9,73.6,27.78,72.22,52.81,46.73,56.34,43.03,49.03,20.19,49.91,21.2,51.05,27.43,52.97,19.75,61.0,15.72,55.73,17.0,63.55,35.99,53.27,46.83,66.11,32.68,39.0,59.32,76.85,23.11,76.14,23.41,27.46,70.99,64.19,32.67,67.23,32.33,54.8,25.41,41.37,41.27,36.75,33.71,45.66,54.31,33.84,55.38,47.49,41.38,51.94,34.36,54.14,34.19,56.52,32.16,38.25,61.76,44.98,9.85
32382.0,0.62,0.12,2.39,0.13,2.19,38378.0,2755838,21.51,18.9,20.43,16.64,3.7,91.8,27.04,72.98,55.68,43.05,56.9,42.06,51.57,18.72,51.34,19.93,53.54,24.53,53.53,17.39,63.85,14.66,57.02,16.05,66.91,32.4,55.03,45.08,65.71,33.17,38.75,60.26,78.99,20.84,78.6,20.76,24.81,73.47,65.4,31.1,69.33,30.15,57.62,22.1,43.14,41.17,38.51,31.49,48.36,51.57,34.64,53.32,47.68,39.66,53.01,31.71,56.6,28.52,58.39,28.0,39.59,60.41,46.62,9.45
5160.0,1.91,,1.12,,,32656.0,449646,21.93,21.06,48.66,26.22,4.0,15.6,23.98,76.01,61.25,36.81,60.77,37.29,56.78,15.59,55.26,16.58,55.57,20.01,55.85,12.94,63.3,13.8,56.95,14.99,68.05,30.35,57.56,42.25,64.17,33.96,39.67,58.98,78.79,20.58,78.87,20.0,19.7,78.15,67.57,28.58,73.37,25.47,57.44,16.28,43.44,42.24,37.16,27.72,51.07,48.84,38.39,44.18,50.2,31.75,53.81,25.99,54.86,24.24,57.99,23.58,44.33,55.67,50.62,7.51
2481.0,1.78,0.13,1.94,0.83,2.03,31328.0,177103,17.39,21.03,34.6,13.81,3.0,17.7,27.0,72.9,59.25,39.76,60.72,38.1,53.77,16.75,53.34,17.66,54.78,21.82,56.07,14.49,62.94,14.01,57.47,14.76,66.75,31.92,55.49,44.2,62.49,35.57,37.01,61.24,78.71,20.5,77.55,21.44,24.0,74.37,66.94,29.28,72.49,26.96,57.97,18.33,44.44,39.57,39.33,27.02,51.41,48.39,38.47,47.75,51.54,33.78,54.63,28.38,56.29,26.77,59.3,25.22,43.7,56.3,48.87,8.07
17718.0,1.8,0.08,1.67,0.38,,35651.0,1146899,22.01,20.29,15.35,17.3,3.4,36.6,26.6,73.37,51.36,48.22,55.01,44.54,47.25,20.74,47.6,21.87,49.34,27.43,52.9,20.17,59.47,15.83,53.91,17.24,64.35,35.3,51.74,48.26,66.82,31.98,39.49,58.79,77.27,22.59,75.37,24.23,26.3,72.35,63.02,33.53,65.66,34.09,53.37,25.96,41.02,41.51,37.08,32.96,45.93,53.89,32.57,56.26,45.87,42.7,49.55,36.48,52.84,32.97,55.19,31.63,36.34,63.66,42.67,10.47
6053.0,2.98,0.01,1.5,1.14,,36645.0,408219,22.6,17.94,28.52,17.3,2.8,22.8,27.34,72.58,56.9,42.36,58.69,40.41,51.52,18.0,51.21,19.07,52.91,23.93,54.68,16.43,61.93,14.75,56.52,15.54,65.7,33.29,54.08,45.73,63.73,34.54,37.63,60.57,78.27,21.11,77.12,22.01,25.32,73.16,65.82,30.57,70.17,29.39,56.33,20.87,43.61,39.99,38.4,29.15,49.5,50.32,36.85,50.84,50.23,36.64,53.39,31.05,55.61,29.24,58.39,27.55,41.49,58.51,47.18,8.74
42551.0,1.44,,2.25,,3.15,39607.0,2548547,22.47,17.76,4.46,16.1,2.6,109.4,25.34,74.62,48.02,51.88,51.66,47.92,44.97,23.22,45.12,24.63,45.37,33.3,49.44,24.82,55.74,18.19,50.89,19.28,60.65,39.14,49.45,50.71,68.75,30.09,42.46,55.77,75.05,25.11,75.46,24.07,27.6,71.1,61.22,35.52,62.06,37.57,46.11,32.02,38.17,43.5,33.59,35.41,40.37,59.61,29.75,61.02,42.97,48.0,45.83,43.24,49.02,41.58,51.64,38.42,33.52,66.48,40.5,11.41
27040.0,0.56,,1.16,,1.31,36613.0,2505314,23.5,15.79,26.71,19.11,3.1,89.6,27.43,72.57,53.7,44.56,56.86,42.42,49.92,19.8,50.27,20.49,51.3,25.19,53.94,18.36,60.65,15.31,55.13,16.76,65.08,34.26,53.05,47.0,63.62,35.06,38.62,59.85,78.11,21.64,77.23,22.16,26.11,72.23,64.35,32.35,67.12,32.3,55.01,24.04,42.41,41.08,37.32,31.84,47.47,52.39,34.23,54.34,47.35,40.9,51.51,34.71,54.26,32.64,56.09,31.68,38.45,61.55,45.24,9.66
16893.0,1.05,,1.27,,3.54,36026.0,1174931,24.73,16.26,71.79,31.39,5.5,44.8,28.73,71.25,70.73,27.48,70.79,27.53,64.16,11.4,63.49,11.73,63.76,13.89,61.79,7.92,68.74,10.78,63.62,11.02,72.54,25.57,63.91,35.6,53.81,44.11,31.74,66.67,81.74,17.17,81.48,17.33,20.73,76.91,72.87,23.43,82.18,17.06,67.47,9.46,50.94,35.21,45.84,20.14,61.31,38.56,47.3,35.49,59.4,22.88,63.41,17.49,63.61,16.05,66.14,16.09,54.3,45.7,59.2,5.37
33379.0,1.79,0.03,1.8,0.34,2.67,31916.0,1768414,24.64,16.03,13.74,21.23,2.8,91.5,27.18,72.76,50.8,47.79,55.62,43.72,47.09,22.14,47.72,23.19,50.8,28.23,51.92,21.39,58.55,16.98,54.06,18.39,63.13,35.7,50.66,48.61,64.76,32.85,40.69,57.11,76.38,22.67,75.49,23.43,26.33,72.24,62.26,34.3,65.32,34.46,53.27,27.2,41.85,40.99,36.09,32.19,45.73,54.08,32.63,56.7,45.78,42.73,49.55,36.48,52.76,34.04,54.75,32.52,37.14,62.86,43.13,10.77
31885.0,0.51,,2.07,,2.26,42269.0,1694188,22.56,14.1,24.83,12.72,2.6,128.2,27.29,72.68,54.86,44.59,55.58,43.64,50.14,19.31,49.62,20.46,50.2,26.0,52.71,18.64,59.87,15.62,54.82,16.71,64.73,34.49,53.15,46.92,65.52,33.09,39.03,59.48,77.03,22.74,76.83,22.52,26.3,72.12,64.64,32.13,67.03,32.38,54.15,24.49,42.6,41.38,37.5,31.83,47.03,52.83,34.32,54.47,47.88,40.3,51.66,34.39,54.14,32.64,56.54,31.16,38.6,61.4,45.46,9.5
18048.0,0.7,0.57,1.45,0.41,2.54,32996.0,1172006,22.28,17.05,38.63,22.01,3.5,40.5,24.06,75.91,57.07,41.82,57.18,41.5,51.59,18.28,50.33,19.46,51.89,24.11,53.59,16.33,60.37,15.46,54.58,16.73,65.84,32.96,53.67,46.25,65.36,33.06,40.5,58.16,77.78,21.84,76.46,22.73,21.99,76.07,64.88,31.53,69.42,29.69,52.48,21.38,42.62,41.9,34.19,31.31,47.22,52.65,35.49,49.66,47.54,37.16,51.72,30.51,53.11,29.41,56.18,27.39,39.96,60.04,45.88,8.88
50285.0,0.47,,1.57,,,36918.0,2803470,21.86,17.85,19.1,17.61,3.3,195.2,27.31,72.68,54.87,44.62,57.6,41.68,49.45,19.8,49.71,20.84,51.76,25.77,53.88,18.62,61.45,15.36,56.02,16.64,65.99,33.3,53.67,46.41,64.27,34.58,38.49,60.07,78.83,20.94,77.17,22.29,26.9,71.52,64.49,32.11,68.78,30.83,53.91,23.69,41.39,41.77,39.65,32.32,46.84,53.09,34.12,54.04,47.79,39.78,51.75,33.23,54.96,29.7,56.87,28.66,38.76,61.24,46.02,9.62
5905.0,1.95,0.23,1.15,1.13,,34966.0,331837,21.6,20.05,14.51,17.81,3.1,27.5,26.07,73.88,52.16,47.55,55.03,44.41,47.62,20.75,47.93,21.91,48.8,27.25,52.15,20.18,58.77,16.16,53.45,17.47,63.5,35.99,51.83,48.13,66.73,31.91,40.1,58.02,77.12,22.62,75.96,23.47,26.28,72.33,62.97,33.5,65.12,34.49,51.92,25.47,40.69,42.33,35.04,33.57,45.03,54.82,32.92,55.97,46.04,42.37,49.48,36.5,52.5,34.54,54.71,32.89,36.72,63.28,42.46,10.27
15553.0,1.57,0.15,1.47,0.38,,34318.0,886031,24.67,16.31,14.13,22.77,2.8,50.0,27.72,72.17,54.33,45.42,57.72,41.65,48.16,20.43,48.13,21.23,50.13,27.09,53.28,19.78,60.71,15.81,55.67,16.76,64.7,34.43,52.11,47.64,64.58,33.79,38.25,59.88,77.61,21.85,76.22,23.03,27.73,70.9,64.07,32.5,68.29,31.61,53.67,24.39,43.3,40.04,37.49,30.92,47.69,52.13,34.93,55.07,48.54,40.77,51.78,35.15,54.68,33.23,56.94,31.41,38.43,61.57,44.85,9.86
8982.0,3.47,,2.25,,1.34,35192.0,519624,22.2,19.04,13.39,22.22,2.9,46.6,26.4,73.53,51.36,48.49,54.12,45.3,46.8,21.44,46.85,22.82,48.99,28.35,51.79,20.82,58.86,16.78,53.52,18.03,62.75,36.61,50.04,49.94,67.44,31.09,40.73,57.32,76.76,22.94,75.15,24.21,26.78,71.94,62.45,34.04,64.69,35.0,51.99,26.67,40.42,42.38,34.87,33.82,44.21,55.63,32.74,56.27,45.94,43.03,49.34,36.81,51.61,36.03,54.7,32.8,36.97,63.03,42.73,10.46
3166.0,2.94,0.0,1.02,0.41,,32359.0,235854,23.43,19.37,82.9,38.59,5.6,14.0,26.7,73.25,69.47,28.09,67.31,30.71,65.93,10.03,64.85,10.7,64.76,13.05,63.14,6.64,69.86,10.25,63.78,10.48,72.25,25.78,62.69,36.82,56.76,40.61,32.12,66.44,81.27,17.5,81.15,17.45,17.09,80.78,73.68,22.45,82.65,16.58,67.21,7.82,49.54,36.59,43.42,18.58,61.64,38.23,48.78,31.86,60.75,19.65,63.38,15.55,62.66,15.08,66.42,14.24,55.57,44.43,57.55,4.95
4938.0,2.89,,1.93,,2.02,36585.0,280041,23.27,18.07,60.47,25.69,3.9,24.5,24.43,75.55,64.1,32.5,59.51,38.64,61.82,11.39,61.08,12.59,59.99,16.88,61.45,9.37,68.6,10.4,60.54,10.94,71.28,27.6,60.29,39.62,60.82,37.19,33.29,66.13,79.18,20.1,81.36,17.46,16.77,81.3,72.61,23.43,80.08,19.38,62.48,11.89,47.21,37.39,38.98,22.81,58.0,41.97,43.51,37.79,56.71,24.47,60.38,19.22,62.15,17.71,63.26,18.95,48.19,51.82,49.33,6.3
6052.0,2.69,0.08,1.96,1.91,,40360.0,327713,20.93,20.97,29.02,13.5,3.6,30.8,26.58,73.38,56.13,42.98,57.6,41.23,51.77,18.2,50.92,19.49,52.11,24.15,53.52,16.61,61.27,15.11,55.78,16.19,65.08,33.8,53.93,46.01,64.8,33.51,39.5,58.83,78.13,21.36,77.02,22.12,24.79,73.54,65.49,31.02,69.58,29.76,55.65,21.02,42.17,41.94,37.01,30.45,48.59,51.24,36.24,50.71,49.15,37.03,52.5,31.38,54.34,29.53,57.31,28.07,41.22,58.79,47.46,8.76
66362.0,0.35,,1.55,,3.95,42398.0,4349489,23.58,16.52,30.58,18.28,3.0,175.1,26.98,73.06,55.28,44.05,57.95,41.25,50.01,19.28,50.28,20.25,50.57,25.48,52.97,18.48,59.73,15.16,54.59,16.64,65.28,34.06,53.98,46.09,64.76,33.96,38.52,60.08,77.94,21.89,76.89,22.62,25.48,72.76,64.54,32.19,69.53,29.98,56.7,22.32,42.27,41.7,37.8,30.93,47.79,52.08,34.1,53.62,47.49,39.58,52.03,32.3,54.7,29.72,56.62,28.82,39.25,60.75,46.02,9.5
23001.0,1.68,0.05,1.82,0.3,,36567.0,1319359,21.58,18.74,8.98,18.78,3.3,49.4,23.42,76.51,49.65,48.83,49.1,50.05,46.61,20.16,45.75,22.61,46.03,29.69,51.13,20.87,59.49,16.03,52.21,17.2,62.65,37.14,50.36,49.72,70.61,28.03,42.28,56.48,76.35,23.58,76.45,22.79,22.92,75.76,63.71,32.52,64.68,35.06,48.96,27.6,38.98,43.74,31.17,35.71,44.22,55.71,31.31,56.4,45.28,41.87,48.71,35.84,52.43,33.38,52.71,32.72,34.07,65.93,38.53,10.73
483959.0,0.02,0.15,1.59,0.02,3.74,54730.0,41774355,23.08,14.63,47.92,17.19,2.9,592.5,30.36,69.72,66.61,32.11,69.36,29.72,59.64,13.89,58.2,14.67,58.28,18.61,60.59,11.89,66.14,11.8,62.17,12.09,71.63,26.47,60.24,39.36,61.27,37.15,31.41,66.92,80.99,17.98,80.35,19.35,25.85,72.07,71.19,25.55,78.25,21.42,61.77,13.76,48.7,38.42,47.19,22.74,55.69,44.47,40.84,45.62,55.69,31.08,59.21,24.39,61.28,23.65,64.21,22.64,49.06,50.94,55.13,6.78
5380.0,1.81,,1.42,,2.57,33496.0,296054,22.02,20.6,12.53,22.76,3.1,24.1,25.21,74.7,50.47,48.62,50.84,48.44,47.08,20.05,46.44,22.14,47.75,29.13,51.83,20.44,59.29,16.07,53.01,17.06,62.34,37.22,49.7,50.31,68.66,29.78,40.97,57.41,76.16,23.52,75.44,23.75,24.46,74.39,63.54,32.75,65.45,34.38,49.88,26.82,39.45,42.82,32.89,33.58,44.48,55.38,32.89,55.62,46.55,41.31,49.23,35.96,52.24,34.23,54.41,32.74,36.17,63.83,40.45,10.33
44969.0,0.89,,1.88,,3.46,37151.0,2467086,20.25,18.88,13.11,15.88,3.3,138.8,27.44,72.58,54.82,43.43,58.6,39.93,49.67,19.82,51.11,20.36,52.78,25.49,55.2,19.04,62.88,14.59,57.65,16.1,66.24,32.83,55.73,43.61,62.58,35.3,36.16,62.25,78.47,20.65,78.08,21.07,27.17,71.12,64.68,31.99,67.86,30.38,57.66,23.78,45.93,37.62,40.97,31.44,49.22,50.59,34.27,54.99,47.48,41.28,53.04,33.6,57.25,30.11,59.03,28.44,38.01,61.99,45.95,10.01
10115.0,4.41,,3.14,,,34125.0,563208,21.76,16.84,21.96,16.49,3.1,49.7,25.32,74.6,55.06,43.97,55.47,43.38,48.83,19.87,47.62,21.38,48.6,26.73,51.7,18.95,59.0,16.13,53.15,17.23,64.26,34.79,52.18,47.74,67.22,31.2,41.22,57.14,77.3,22.27,76.62,22.48,24.22,74.13,64.3,31.98,67.1,32.25,51.83,24.41,40.91,42.9,34.08,33.33,46.21,53.69,34.41,53.54,47.23,39.96,50.68,34.19,53.16,32.09,55.75,30.83,38.51,61.49,43.87,9.59
87625.0,0.1,,1.46,,1.68,38036.0,6013577,21.61,10.75,30.09,21.16,2.7,230.8,30.07,69.85,61.11,38.02,64.44,34.75,53.84,17.24,54.66,17.5,57.64,21.65,57.33,15.31,65.87,13.42,60.57,14.38,68.74,30.24,59.14,40.55,57.37,41.33,33.02,65.79,80.97,18.35,79.96,19.17,27.14,71.0,68.01,28.91,73.11,26.35,63.43,17.82,48.71,35.9,46.75,26.57,53.61,46.17,37.04,52.51,51.84,36.99,57.88,29.14,60.94,26.15,62.42,25.63,42.4,57.6,51.66,8.47
38704.0,0.97,,3.09,,1.33,42546.0,3288507,23.18,14.32,18.43,14.33,2.6,147.8,25.64,74.35,53.2,45.95,54.66,44.5,48.92,19.9,48.36,21.26,48.02,27.8,51.19,19.62,58.25,15.8,53.0,16.96,63.48,36.1,52.08,48.31,64.63,33.23,39.75,59.14,76.2,23.96,75.86,23.74,26.36,72.03,64.47,32.22,66.58,32.87,50.49,25.72,42.84,41.77,34.8,34.88,46.81,53.12,33.52,55.2,46.82,41.75,50.87,35.46,53.44,33.81,55.33,32.8,37.38,62.62,44.14,9.89
4079.0,3.88,,1.77,,,38991.0,413334,22.95,17.38,75.3,29.87,5.7,15.8,26.5,73.46,68.15,29.19,67.12,31.29,65.52,10.06,65.7,10.63,65.79,13.51,65.1,7.07,71.2,9.55,64.46,9.87,72.99,25.57,62.38,37.32,55.69,42.04,30.21,68.67,81.26,17.64,81.63,17.18,17.32,80.66,74.08,21.99,83.09,16.38,67.34,8.48,50.09,34.86,43.31,18.1,61.59,38.33,47.95,33.06,60.64,20.33,63.99,15.75,64.53,14.79,66.93,14.56,53.87,46.13,55.43,5.28
7267.0,1.63,,1.05,,,32919.0,437305,18.04,17.77,84.19,22.63,4.3,35.2,29.77,70.1,72.64,25.57,72.0,26.35,66.83,9.74,66.16,9.96,67.32,11.99,63.95,5.92,70.91,10.01,65.65,9.97,73.14,24.57,63.69,35.51,51.71,45.54,28.75,69.52,82.31,16.25,81.41,17.12,19.63,78.03,74.54,21.96,84.43,15.01,70.11,6.85,53.34,32.96,49.67,16.64,64.79,34.92,51.24,31.78,63.64,19.0,66.57,14.79,66.19,13.89,69.65,12.79,57.23,42.77,61.79,4.67
271448.0,0.12,0.04,1.17,0.04,2.31,51445.0,21707550,22.34,13.98,31.45,13.29,2.5,417.7,31.74,68.34,57.36,41.46,64.93,34.23,55.38,17.36,55.76,17.85,57.95,22.48,56.64,15.42,64.38,13.6,59.57,14.4,70.3,28.54,57.49,42.59,54.96,43.65,35.41,63.48,80.66,18.8,80.58,18.32,28.94,69.08,68.14,28.93,73.74,25.84,61.88,19.02,51.16,36.47,46.96,28.1,54.05,45.31,36.28,51.96,51.45,37.15,56.39,30.33,59.63,28.13,62.55,25.3,43.09,56.92,53.68,8.32
