STATEFP,COUNTYFP,reducetax,CO2limits,localofficials,governor,congress,president,corporations,citizens,regulate,supportRPS,drilloffshore,drillANWR,fundrenewables,rebates,mediaweekly,prienv,teachGW,happening,human,consensus,worried,personal,harmUS,devharm,futuregen,harmplants,timing,affectweather,PerCapitapersonalincome2018,GDP2018,PercentPopulationUnder18,PercentPopulationOver65,PercentNonwhite,PercentofPopulationBelowPovertyLevel,POPESTIMATE2019,UnemploymentRate,AgricultureforestryfishingandhuntingPCT,ConstructionPCT,HealthcareandsocialassistancePCT,Populationpersquaremile2010,TotalemploymentnumberofjobsUmp
01,021,0.26,0.38,0.19,0.21,0.18,0.22,0.14,0.1,0.21,0.18,0.88,0.67,0.24,0.3,0.33,0.31,0.23,0.17,0.14,0.18,0.12,0.14,0.17,0.24,0.14,0.16,0.18,0.28,0.07,0.0,0.58,0.23,0.17,0.34,0.0,0.11,0.16,0.15,0.18,0.0,0.0
01,023,0.51,0.56,0.55,0.52,0.44,0.45,0.39,0.37,0.46,0.43,0.72,0.51,0.4,0.49,0.22,0.55,0.56,0.44,0.3,0.31,0.36,0.37,0.36,0.42,0.32,0.36,0.49,0.47,0.09,0.0,0.48,0.35,0.45,0.4,0.0,0.22,0.15,0.16,0.15,0.0,0.0
01,025,0.49,0.52,0.56,0.52,0.43,0.46,0.4,0.36,0.44,0.41,0.74,0.5,0.38,0.48,0.19,0.59,0.58,0.41,0.28,0.27,0.37,0.39,0.4,0.43,0.32,0.36,0.49,0.43,0.08,0.0,0.53,0.29,0.49,0.46,0.0,0.27,0.15,0.18,0.22,0.0,0.0
01,027,0.25,0.36,0.2,0.2,0.17,0.2,0.14,0.11,0.2,0.18,0.88,0.74,0.21,0.25,0.27,0.29,0.19,0.17,0.1,0.14,0.12,0.11,0.12,0.2,0.1,0.12,0.19,0.28,0.06,0.0,0.5,0.31,0.18,0.33,0.0,0.12,0.13,0.2,0.15,0.0,0.0
01,029,0.21,0.43,0.11,0.22,0.19,0.32,0.16,0.15,0.27,0.22,0.8,0.54,0.23,0.27,0.38,0.25,0.18,0.19,0.17,0.24,0.11,0.06,0.1,0.22,0.18,0.15,0.13,0.22,0.08,0.0,0.55,0.29,0.06,0.33,0.0,0.13,0.1,0.18,0.2,0.0,0.0
01,031,0.26,0.41,0.25,0.3,0.25,0.27,0.24,0.22,0.23,0.26,0.85,0.63,0.23,0.3,0.35,0.35,0.27,0.26,0.15,0.2,0.14,0.14,0.18,0.28,0.19,0.2,0.22,0.31,0.11,0.0,0.57,0.24,0.25,0.28,0.01,0.12,0.09,0.12,0.17,0.0,0.0
01,033,0.33,0.42,0.34,0.34,0.32,0.29,0.34,0.27,0.37,0.32,0.85,0.62,0.35,0.46,0.27,0.41,0.35,0.34,0.21,0.24,0.21,0.17,0.18,0.31,0.26,0.26,0.27,0.35,0.09,0.0,0.51,0.3,0.21,0.29,0.01,0.16,0.23,0.17,0.17,0.0,0.0
01,035,0.48,0.5,0.54,0.47,0.38,0.37,0.32,0.27,0.42,0.41,0.81,0.66,0.34,0.47,0.12,0.51,0.49,0.33,0.21,0.21,0.28,0.3,0.27,0.34,0.21,0.25,0.42,0.43,0.06,0.0,0.52,0.34,0.51,0.49,0.0,0.18,0.21,0.08,0.11,0.0,0.0
01,037,0.43,0.5,0.43,0.41,0.36,0.38,0.31,0.29,0.36,0.33,0.77,0.57,0.34,0.39,0.25,0.48,0.46,0.35,0.24,0.26,0.29,0.3,0.31,0.36,0.25,0.29,0.4,0.39,0.05,0.0,0.4,0.34,0.36,0.23,0.0,0.12,,0.17,0.19,0.0,0.0
01,039,0.22,0.38,0.18,0.22,0.21,0.27,0.19,0.15,0.26,0.2,0.87,0.65,0.26,0.24,0.32,0.29,0.21,0.23,0.14,0.21,0.15,0.1,0.12,0.22,0.15,0.16,0.16,0.26,0.07,0.0,0.52,0.33,0.16,0.3,0.0,0.15,0.1,0.16,0.18,0.0,0.0
01,041,0.37,0.45,0.34,0.34,0.3,0.33,0.28,0.25,0.32,0.28,0.8,0.59,0.31,0.36,0.29,0.43,0.38,0.3,0.22,0.24,0.24,0.25,0.27,0.33,0.23,0.26,0.33,0.36,0.08,0.0,0.54,0.28,0.3,0.3,0.0,0.11,0.1,0.11,0.13,0.0,0.0
01,043,0.14,0.31,0.09,0.14,0.1,0.14,0.05,0.04,0.1,0.12,0.92,0.75,0.13,0.25,0.35,0.21,0.08,0.04,0.06,0.13,0.0,0.0,0.03,0.11,0.03,0.05,0.07,0.21,0.09,0.0,0.53,0.28,0.05,0.28,0.01,0.1,0.16,0.14,0.15,0.0,0.01
01,045,0.28,0.42,0.28,0.31,0.26,0.3,0.23,0.2,0.29,0.25,0.8,0.62,0.3,0.37,0.31,0.36,0.27,0.27,0.18,0.21,0.19,0.15,0.17,0.27,0.19,0.19,0.23,0.31,0.08,0.0,0.56,0.24,0.28,0.34,0.0,0.13,0.14,0.12,0.15,0.0,0.0
01,047,0.72,0.71,0.83,0.74,0.6,0.58,0.52,0.52,0.61,0.63,0.57,0.39,0.51,0.65,0.15,0.76,0.81,0.6,0.44,0.4,0.56,0.61,0.57,0.61,0.48,0.51,0.75,0.62,0.07,0.0,0.59,0.25,0.75,0.59,0.0,0.26,0.09,0.15,0.16,0.0,0.0
01,049,0.21,0.39,0.17,0.22,0.25,0.23,0.15,0.16,0.21,0.17,0.82,0.69,0.21,0.25,0.32,0.26,0.2,0.22,0.17,0.19,0.14,0.1,0.12,0.22,0.14,0.15,0.19,0.27,0.06,0.0,0.59,0.24,0.14,0.38,0.01,0.11,0.09,0.1,0.19,0.0,0.0
01,051,0.31,0.39,0.29,0.29,0.23,0.26,0.2,0.19,0.28,0.25,0.84,0.63,0.24,0.34,0.32,0.37,0.26,0.25,0.19,0.22,0.18,0.16,0.19,0.28,0.19,0.2,0.23,0.32,0.1,0.0,0.54,0.21,0.26,0.21,0.01,0.1,0.11,0.12,0.16,0.0,0.0
01,053,0.37,0.42,0.34,0.31,0.28,0.29,0.22,0.18,0.32,0.27,0.84,0.68,0.29,0.32,0.19,0.38,0.35,0.2,0.19,0.15,0.18,0.2,0.18,0.28,0.16,0.19,0.28,0.33,0.06,0.0,0.53,0.26,0.4,0.4,0.0,0.15,0.14,0.15,0.19,0.0,0.0
01,055,0.31,0.43,0.26,0.29,0.27,0.3,0.26,0.23,0.33,0.27,0.81,0.62,0.35,0.36,0.33,0.36,0.33,0.24,0.15,0.26,0.17,0.15,0.19,0.28,0.21,0.21,0.24,0.33,0.08,0.0,0.52,0.28,0.2,0.31,0.01,0.14,0.08,0.12,0.19,0.0,0.01
01,057,0.24,0.38,0.19,0.23,0.19,0.24,0.16,0.14,0.22,0.21,0.87,0.67,0.25,0.28,0.32,0.29,0.19,0.19,0.13,0.17,0.12,0.11,0.13,0.22,0.14,0.14,0.17,0.25,0.07,0.0,0.51,0.32,0.15,0.31,0.0,0.13,0.09,0.05,0.19,0.0,0.0
01,059,0.3,0.43,0.21,0.24,0.23,0.28,0.23,0.22,0.27,0.22,0.82,0.61,0.28,0.3,0.36,0.34,0.31,0.23,0.21,0.22,0.19,0.18,0.21,0.28,0.2,0.22,0.23,0.31,0.07,0.0,0.59,0.25,0.15,0.42,0.0,0.11,0.1,0.15,0.15,0.0,0.0
01,061,0.22,0.36,0.16,0.19,0.2,0.23,0.17,0.14,0.19,0.14,0.89,0.69,0.23,0.23,0.33,0.27,0.18,0.19,0.12,0.16,0.1,0.1,0.13,0.21,0.11,0.14,0.18,0.26,0.07,0.0,0.53,0.3,0.14,0.4,0.0,0.12,0.12,0.1,0.15,0.0,0.0
01,063,0.69,0.63,0.9,0.79,0.63,0.63,0.56,0.53,0.59,0.58,0.64,0.41,0.48,0.62,0.04,0.8,0.82,0.59,0.4,0.34,0.56,0.66,0.61,0.6,0.45,0.52,0.79,0.59,0.06,0.0,0.56,0.31,0.86,0.74,0.0,0.26,0.12,0.08,0.28,0.0,0.0
01,065,0.55,0.47,0.74,0.66,0.5,0.57,0.52,0.41,0.55,0.5,0.73,0.44,0.36,0.64,0.03,0.75,0.73,0.46,0.33,0.25,0.47,0.48,0.48,0.52,0.43,0.42,0.55,0.4,0.08,0.0,0.55,0.28,0.63,0.48,0.0,0.17,0.14,0.1,0.19,0.0,0.0
01,067,0.35,0.43,0.35,0.33,0.28,0.29,0.25,0.23,0.29,0.28,0.82,0.65,0.31,0.35,0.27,0.41,0.35,0.29,0.18,0.21,0.22,0.22,0.23,0.3,0.19,0.23,0.32,0.36,0.09,0.0,0.49,0.34,0.3,0.23,0.0,0.16,0.14,0.23,0.19,0.0,0.0
01,069,0.32,0.44,0.28,0.31,0.24,0.27,0.2,0.18,0.3,0.28,0.82,0.62,0.29,0.34,0.29,0.37,0.35,0.31,0.18,0.22,0.2,0.15,0.18,0.29,0.2,0.2,0.26,0.33,0.1,0.01,0.56,0.25,0.32,0.32,0.01,0.12,0.09,0.13,0.18,0.0,0.01
01,071,0.18,0.25,0.15,0.16,0.11,0.2,0.19,0.09,0.19,0.15,0.96,0.74,0.2,0.32,0.21,0.33,0.18,0.11,0.08,0.08,0.1,0.05,0.1,0.19,0.13,0.08,0.09,0.17,0.08,0.0,0.51,0.3,0.09,0.33,0.01,0.14,0.16,0.13,0.16,0.0,0.0
01,073,0.62,0.68,0.65,0.57,0.45,0.54,0.43,0.47,0.57,0.5,0.74,0.38,0.47,0.57,0.3,0.68,0.67,0.45,0.37,0.42,0.41,0.38,0.45,0.49,0.41,0.45,0.57,0.53,0.16,0.06,0.55,0.22,0.5,0.3,0.07,0.12,0.07,0.09,0.17,0.01,0.07
01,075,0.2,0.29,0.17,0.18,0.16,0.23,0.18,0.12,0.17,0.13,0.91,0.7,0.19,0.25,0.26,0.32,0.21,0.14,0.09,0.12,0.11,0.11,0.15,0.21,0.13,0.13,0.15,0.21,0.06,0.0,0.52,0.34,0.13,0.42,0.0,0.13,0.17,0.14,0.07,0.0,0.0
01,077,0.31,0.45,0.27,0.34,0.3,0.35,0.31,0.3,0.34,0.34,0.77,0.54,0.32,0.42,0.34,0.37,0.29,0.34,0.29,0.29,0.23,0.16,0.18,0.32,0.28,0.28,0.21,0.33,0.08,0.0,0.47,0.3,0.14,0.27,0.01,0.14,0.13,0.17,0.17,0.0,0.01
01,079,0.32,0.39,0.24,0.22,0.19,0.22,0.17,0.13,0.26,0.22,0.88,0.71,0.26,0.33,0.25,0.36,0.27,0.19,0.14,0.14,0.15,0.16,0.17,0.25,0.16,0.18,0.23,0.28,0.07,0.0,0.51,0.26,0.23,0.29,0.0,0.13,0.08,0.22,0.14,0.0,0.0
01,081,0.47,0.57,0.43,0.45,0.43,0.42,0.42,0.41,0.45,0.46,0.65,0.43,0.47,0.55,0.34,0.53,0.48,0.49,0.37,0.42,0.35,0.25,0.32,0.45,0.4,0.39,0.36,0.46,0.08,0.01,0.51,0.14,0.31,0.38,0.02,0.11,0.08,0.13,0.2,0.0,0.01
01,083,0.27,0.37,0.24,0.24,0.17,0.21,0.14,0.12,0.22,0.21,0.82,0.66,0.2,0.28,0.32,0.36,0.25,0.15,0.2,0.16,0.17,0.13,0.16,0.26,0.17,0.16,0.19,0.29,0.1,0.0,0.55,0.21,0.19,0.24,0.01,0.1,0.1,0.13,0.16,0.0,0.01
01,085,0.66,0.63,0.88,0.82,0.66,0.7,0.61,0.55,0.63,0.57,0.61,0.34,0.48,0.66,0.05,0.82,0.84,0.59,0.41,0.34,0.56,0.63,0.61,0.62,0.51,0.53,0.73,0.54,0.09,0.0,0.55,0.27,0.78,0.56,0.0,0.27,0.16,0.13,0.15,0.0,0.0
01,087,0.77,0.73,0.93,0.83,0.7,0.66,0.6,0.6,0.63,0.62,0.52,0.29,0.54,0.64,0.12,0.84,0.89,0.66,0.51,0.48,0.65,0.74,0.71,0.69,0.56,0.62,0.84,0.68,0.06,0.0,0.42,0.28,0.88,0.41,0.0,0.19,0.14,0.15,0.18,0.0,0.0
01,089,0.38,0.58,0.49,0.49,0.44,0.4,0.36,0.37,0.51,0.4,0.6,0.51,0.45,0.59,0.4,0.54,0.5,0.45,0.44,0.42,0.36,0.23,0.31,0.41,0.36,0.39,0.38,0.5,0.14,0.03,0.53,0.2,0.33,0.22,0.04,0.1,0.09,0.09,0.14,0.01,0.04
01,091,0.58,0.59,0.65,0.58,0.52,0.49,0.45,0.43,0.5,0.47,0.73,0.51,0.47,0.55,0.2,0.63,0.63,0.51,0.3,0.31,0.4,0.43,0.42,0.47,0.34,0.39,0.58,0.54,0.09,0.0,0.55,0.3,0.57,0.47,0.0,0.15,0.1,0.17,0.14,0.0,0.0
01,093,0.21,0.37,0.09,0.15,0.17,0.2,0.18,0.12,0.19,0.15,0.87,0.69,0.25,0.26,0.35,0.23,0.13,0.17,0.12,0.2,0.08,0.06,0.09,0.18,0.12,0.12,0.13,0.26,0.06,0.0,0.5,0.33,0.07,0.3,0.0,0.15,0.08,0.1,0.18,0.0,0.0
01,095,0.29,0.42,0.17,0.26,0.26,0.3,0.24,0.23,0.24,0.2,0.8,0.63,0.29,0.31,0.39,0.29,0.27,0.22,0.18,0.23,0.17,0.13,0.16,0.27,0.22,0.2,0.17,0.27,0.08,0.0,0.6,0.26,0.08,0.37,0.01,0.1,0.08,0.11,0.2,0.0,0.01
01,097,0.47,0.52,0.43,0.36,0.17,0.35,0.3,0.24,0.54,0.4,0.75,0.48,0.47,0.54,0.27,0.57,0.47,0.36,0.29,0.32,0.3,0.3,0.34,0.41,0.3,0.33,0.43,0.42,0.08,0.03,0.57,0.22,0.42,0.34,0.04,0.16,0.09,0.15,0.17,0.0,0.04
01,099,0.47,0.54,0.51,0.5,0.36,0.4,0.31,0.27,0.45,0.43,0.75,0.54,0.31,0.48,0.17,0.5,0.5,0.36,0.23,0.26,0.29,0.28,0.26,0.36,0.26,0.28,0.4,0.41,0.06,0.0,0.56,0.3,0.47,0.63,0.0,0.23,0.2,0.13,0.1,0.0,0.0
01,101,0.7,0.71,0.74,0.69,0.57,0.58,0.52,0.48,0.61,0.59,0.52,0.37,0.5,0.66,0.25,0.76,0.79,0.63,0.49,0.46,0.55,0.52,0.56,0.61,0.5,0.53,0.73,0.66,0.11,0.02,0.57,0.2,0.66,0.36,0.02,0.13,0.14,0.13,0.17,0.0,0.03
01,103,0.29,0.43,0.23,0.27,0.26,0.29,0.3,0.23,0.32,0.25,0.82,0.62,0.29,0.37,0.34,0.34,0.29,0.24,0.15,0.23,0.19,0.11,0.14,0.27,0.2,0.19,0.19,0.3,0.09,0.01,0.55,0.25,0.2,0.28,0.01,0.1,0.07,0.11,0.2,0.0,0.01
01,105,0.7,0.67,0.82,0.72,0.6,0.57,0.51,0.51,0.57,0.58,0.6,0.41,0.5,0.6,0.12,0.76,0.78,0.59,0.43,0.38,0.55,0.6,0.56,0.58,0.45,0.51,0.73,0.61,0.05,0.0,0.53,0.29,0.73,0.73,0.0,0.24,0.34,0.21,0.23,0.0,0.0
01,107,0.49,0.56,0.54,0.46,0.39,0.44,0.31,0.37,0.42,0.42,0.76,0.54,0.43,0.48,0.25,0.56,0.52,0.43,0.29,0.27,0.37,0.38,0.39,0.42,0.3,0.35,0.47,0.47,0.06,0.0,0.49,0.28,0.46,0.39,0.0,0.15,0.28,0.25,0.2,0.0,0.0
01,109,0.46,0.54,0.48,0.47,0.38,0.41,0.33,0.32,0.4,0.42,0.67,0.45,0.35,0.45,0.22,0.53,0.5,0.41,0.31,0.32,0.33,0.3,0.32,0.42,0.34,0.35,0.39,0.41,0.08,0.0,0.46,0.21,0.45,0.46,0.0,0.14,0.12,0.19,0.17,0.0,0.0
01,111,0.3,0.45,0.27,0.29,0.25,0.28,0.21,0.2,0.29,0.24,0.83,0.61,0.29,0.33,0.31,0.36,0.28,0.26,0.18,0.23,0.19,0.18,0.19,0.27,0.19,0.2,0.26,0.33,0.06,0.0,0.52,0.32,0.24,0.32,0.0,0.12,0.15,0.15,0.16,0.0,0.0
01,113,0.55,0.63,0.62,0.6,0.5,0.49,0.45,0.43,0.54,0.51,0.66,0.47,0.45,0.58,0.25,0.62,0.63,0.51,0.38,0.38,0.43,0.43,0.42,0.5,0.42,0.44,0.53,0.51,0.06,0.0,0.6,0.18,0.52,0.37,0.01,0.12,0.12,0.18,0.22,0.0,0.0
01,115,0.25,0.38,0.16,0.25,0.21,0.23,0.2,0.17,0.25,0.21,0.84,0.68,0.25,0.29,0.35,0.26,0.22,0.24,0.11,0.17,0.1,0.09,0.1,0.23,0.17,0.15,0.14,0.26,0.09,0.0,0.55,0.23,0.13,0.22,0.01,0.11,0.15,0.11,0.19,0.0,0.0
01,117,0.22,0.4,0.22,0.22,0.2,0.26,0.31,0.26,0.27,0.35,0.79,0.57,0.34,0.4,0.43,0.41,0.2,0.29,0.23,0.25,0.23,0.15,0.21,0.35,0.29,0.26,0.2,0.32,0.15,0.01,0.58,0.2,0.2,0.12,0.02,0.08,0.09,0.09,0.16,0.0,0.02
01,119,0.69,0.66,0.84,0.75,0.59,0.59,0.54,0.5,0.59,0.6,0.59,0.37,0.5,0.62,0.08,0.76,0.79,0.59,0.4,0.37,0.55,0.59,0.55,0.59,0.46,0.51,0.72,0.6,0.06,0.0,0.46,0.25,0.78,0.64,0.0,0.2,0.29,0.3,0.16,0.0,0.0
01,121,0.41,0.49,0.46,0.49,0.41,0.46,0.38,0.3,0.44,0.39,0.73,0.51,0.33,0.48,0.23,0.52,0.44,0.36,0.26,0.28,0.3,0.28,0.33,0.41,0.33,0.32,0.38,0.37,0.07,0.0,0.52,0.25,0.37,0.33,0.01,0.15,0.07,0.13,0.18,0.0,0.01
01,123,0.38,0.46,0.36,0.37,0.38,0.36,0.33,0.3,0.34,0.32,0.82,0.63,0.36,0.4,0.29,0.41,0.39,0.34,0.25,0.22,0.28,0.24,0.25,0.34,0.25,0.28,0.31,0.36,0.1,0.0,0.5,0.32,0.31,0.38,0.0,0.12,0.19,0.11,0.16,0.0,0.0
01,125,0.5,0.54,0.44,0.37,0.28,0.33,0.25,0.24,0.37,0.4,0.67,0.49,0.4,0.49,0.3,0.54,0.46,0.41,0.27,0.31,0.28,0.32,0.33,0.43,0.34,0.36,0.38,0.44,0.09,0.01,0.49,0.17,0.37,0.29,0.02,0.11,0.18,0.1,0.17,0.0,0.02
01,127,0.12,0.18,0.17,0.21,0.12,0.31,0.2,0.08,0.21,0.12,0.94,0.61,0.07,0.3,0.17,0.39,0.22,0.04,0.09,0.07,0.09,0.06,0.14,0.21,0.18,0.12,0.06,0.07,0.09,0.0,0.53,0.29,0.09,0.38,0.01,0.14,0.02,0.11,0.19,0.0,0.0
01,129,0.27,0.22,0.38,0.37,0.29,0.44,0.38,0.23,0.29,0.18,0.91,0.56,0.21,0.39,0.08,0.57,0.45,0.15,0.16,0.08,0.23,0.26,0.35,0.36,0.29,0.27,0.25,0.15,0.08,0.0,0.54,0.27,0.36,0.4,0.0,0.21,0.09,0.2,0.19,0.0,0.0
01,131,0.68,0.64,0.82,0.72,0.57,0.54,0.48,0.46,0.56,0.58,0.64,0.47,0.45,0.59,0.09,0.73,0.75,0.55,0.37,0.34,0.53,0.58,0.52,0.55,0.4,0.47,0.73,0.61,0.06,0.0,0.59,0.28,0.76,0.58,0.0,0.34,0.14,0.19,0.14,0.0,0.0
01,133,0.18,0.33,0.07,0.11,0.13,0.17,0.11,0.09,0.15,0.12,0.9,0.72,0.19,0.2,0.36,0.22,0.1,0.13,0.09,0.15,0.07,0.05,0.08,0.17,0.09,0.1,0.11,0.23,0.07,0.0,0.49,0.33,0.04,0.33,0.0,0.14,0.12,0.12,0.21,0.0,0.0
02,013,0.64,0.65,0.51,0.4,0.55,0.53,0.55,0.54,0.47,0.51,0.47,0.44,0.56,0.52,0.57,0.73,0.62,0.64,0.56,0.57,0.61,0.67,0.75,0.74,0.66,0.72,0.67,0.64,0.16,0.0,0.29,0.09,0.86,0.29,0.0,0.11,0.24,0.24,0.27,0.0,0.0
02,016,0.6,0.62,0.49,0.41,0.55,0.58,0.58,0.55,0.48,0.51,0.47,0.38,0.56,0.55,0.57,0.74,0.64,0.63,0.57,0.57,0.6,0.62,0.73,0.73,0.69,0.72,0.62,0.59,0.15,0.0,0.39,0.04,0.73,0.1,0.0,0.16,0.11,0.11,0.12,0.0,0.0
02,020,0.52,0.63,0.4,0.38,0.46,0.48,0.54,0.48,0.52,0.52,0.53,0.41,0.65,0.64,0.65,0.63,0.59,0.63,0.47,0.6,0.48,0.41,0.51,0.61,0.59,0.61,0.49,0.61,0.21,0.03,0.59,0.11,0.38,0.11,0.03,0.24,0.09,0.15,0.17,0.0,0.03
02,050,0.64,0.62,0.49,0.37,0.53,0.53,0.54,0.53,0.43,0.5,0.46,0.38,0.54,0.5,0.5,0.76,0.61,0.61,0.55,0.53,0.62,0.69,0.77,0.75,0.67,0.72,0.67,0.61,0.11,0.0,0.88,0.07,0.93,0.49,0.0,0.66,0.05,0.25,0.22,0.0,0.0
02,060,0.57,0.6,0.41,0.31,0.5,0.51,0.57,0.54,0.46,0.48,0.53,0.46,0.6,0.57,0.69,0.7,0.59,0.59,0.5,0.56,0.54,0.5,0.64,0.65,0.62,0.67,0.57,0.61,0.54,0.0,0.54,0.12,0.5,0.09,0.0,0.29,0.0,0.19,0.19,0.0,0.0
02,068,0.46,0.5,0.42,0.35,0.51,0.63,0.67,0.59,0.51,0.5,0.53,0.3,0.58,0.67,0.63,0.79,0.68,0.56,0.53,0.56,0.54,0.43,0.65,0.67,0.72,0.7,0.47,0.48,0.28,0.0,0.31,0.08,0.18,0.26,0.0,0.42,,0.48,0.02,0.0,0.0
02,070,0.64,0.63,0.48,0.36,0.53,0.52,0.56,0.54,0.44,0.51,0.46,0.38,0.58,0.53,0.57,0.75,0.61,0.63,0.56,0.56,0.62,0.66,0.75,0.74,0.68,0.73,0.66,0.63,0.18,0.0,0.76,0.09,0.86,0.29,0.0,0.4,0.03,0.17,0.23,0.0,0.0
02,090,0.51,0.56,0.34,0.28,0.39,0.45,0.49,0.46,0.46,0.49,0.56,0.46,0.58,0.59,0.62,0.63,0.5,0.52,0.4,0.54,0.46,0.34,0.49,0.57,0.58,0.6,0.44,0.55,0.16,0.01,0.58,0.1,0.25,0.1,0.01,0.25,0.1,0.27,0.17,0.0,0.01
02,100,0.56,0.64,0.39,0.3,0.51,0.49,0.58,0.58,0.48,0.52,0.5,0.42,0.65,0.6,0.84,0.69,0.6,0.64,0.52,0.63,0.54,0.44,0.61,0.64,0.64,0.69,0.56,0.67,0.21,0.0,0.46,0.37,0.21,0.12,0.0,0.44,0.02,0.32,0.17,0.0,0.0
02,105,0.6,0.68,0.44,0.4,0.57,0.58,0.6,0.6,0.54,0.56,0.43,0.34,0.62,0.6,0.75,0.7,0.64,0.66,0.56,0.65,0.59,0.53,0.67,0.7,0.68,0.71,0.62,0.65,0.19,0.0,0.37,0.3,0.57,0.18,0.0,0.58,0.16,0.19,0.19,0.0,0.0
02,110,0.58,0.68,0.41,0.36,0.51,0.57,0.57,0.56,0.56,0.57,0.4,0.31,0.64,0.67,0.79,0.67,0.66,0.61,0.51,0.68,0.53,0.39,0.57,0.66,0.7,0.69,0.52,0.64,0.21,0.0,0.52,0.15,0.32,0.1,0.0,0.2,0.13,0.21,0.18,0.0,0.0
02,122,0.52,0.6,0.37,0.31,0.48,0.52,0.59,0.55,0.51,0.51,0.54,0.45,0.56,0.61,0.71,0.65,0.6,0.56,0.45,0.56,0.49,0.38,0.54,0.58,0.6,0.62,0.5,0.58,0.14,0.0,0.55,0.22,0.17,0.17,0.01,0.33,0.13,0.18,0.17,0.0,0.0
